abs_observed_ordered_shift,both_correct,comparison_a,comparison_b,correct_a,correct_b,entropy_a,entropy_b,expected_a,expected_b,expected_shift,margin_a,margin_b,observed_ordered_shift,pair_id,pred_a,pred_b,pred_shift,shift_direction_match,target,value
0.026171180626328283,0,a domestic mouse,a domestic dog,1,0,0.7650618598464874,0.6786220362861258,old,youthful,-2.0,0.8284111022949219,-5.457818031311035,-0.026171180626328283,age-v1_3b-p0003-a_domestic_mouse-vs-a_domestic_dog,old,old,0.0,1,3 years,3
0.06192789425354839,0,a horse,a domestic mouse,0,1,0.621246572057677,0.7650618598464874,young,old,3.0,-0.9192333221435547,0.8284111022949219,-0.06192789425354839,age-v1_3b-p0003-a_horse-vs-a_domestic_mouse,old,old,0.0,0,3 years,3
0.004445152827026622,0,a human,a domestic mouse,0,1,0.7155253272766673,0.7650618598464874,young,old,3.0,-0.8326511383056641,0.8284111022949219,0.004445152827026622,age-v1_3b-p0003-a_human-vs-a_domestic_mouse,old,old,0.0,1,3 years,3
0.5781145694245957,0,a domestic mouse,a galapagos tortoise,1,0,0.7650618598464874,0.3729264156575768,old,young,-3.0,0.8284111022949219,-2.0617012977600098,0.5781145694245957,age-v1_3b-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,old,0.0,0,3 years,3
0.15756061686489486,0,a bowhead whale,a domestic mouse,0,1,0.6118939480040032,0.7650618598464874,young,old,3.0,-1.0842466354370117,0.8284111022949219,-0.15756061686489486,age-v1_3b-p0003-a_bowhead_whale-vs-a_domestic_mouse,old,old,0.0,0,3 years,3
0.08809907487987667,0,a domestic dog,a horse,0,0,0.6786220362861258,0.621246572057677,youthful,young,-1.0,-5.457818031311035,-0.9192333221435547,0.08809907487987667,age-v1_3b-p0003-a_domestic_dog-vs-a_horse,old,old,0.0,0,3 years,3
0.02172602779930166,0,a domestic dog,a human,0,0,0.6786220362861258,0.7155253272766673,youthful,young,-1.0,-5.457818031311035,-0.8326511383056641,0.02172602779930166,age-v1_3b-p0003-a_domestic_dog-vs-a_human,old,old,0.0,0,3 years,3
0.604285750050924,0,a galapagos tortoise,a domestic dog,0,0,0.3729264156575768,0.6786220362861258,young,youthful,1.0,-2.0617012977600098,-5.457818031311035,-0.604285750050924,age-v1_3b-p0003-a_galapagos_tortoise-vs-a_domestic_dog,old,old,0.0,0,3 years,3
0.18373179749122315,0,a bowhead whale,a domestic dog,0,0,0.6118939480040032,0.6786220362861258,young,youthful,1.0,-1.0842466354370117,-5.457818031311035,-0.18373179749122315,age-v1_3b-p0003-a_bowhead_whale-vs-a_domestic_dog,old,old,0.0,0,3 years,3
0.03621681067227156,0,a domestic mouse,a horse,1,0,0.8339404914429442,0.6988178022520007,old,youthful,-2.0,0.36159610748291016,-5.488353729248047,0.03621681067227156,age-v1_3b-p0006-a_domestic_mouse-vs-a_horse,old,old,0.0,0,6 years,6
0.2875569018005022,0,a human,a domestic mouse,0,1,0.7135984853309225,0.8339404914429442,young,old,3.0,-0.8068609237670898,0.36159610748291016,-0.2875569018005022,age-v1_3b-p0006-a_human-vs-a_domestic_mouse,old,old,0.0,0,6 years,6
0.7287999802405061,0,a galapagos tortoise,a domestic mouse,0,1,0.47025952335982446,0.8339404914429442,young,old,3.0,-1.6226329803466797,0.36159610748291016,-0.7287999802405061,age-v1_3b-p0006-a_galapagos_tortoise-vs-a_domestic_mouse,old,old,0.0,0,6 years,6
0.4787002539086629,0,a domestic mouse,a bowhead whale,1,0,0.8339404914429442,0.6345851639630431,old,young,-3.0,0.36159610748291016,-1.1150293350219727,0.4787002539086629,age-v1_3b-p0006-a_domestic_mouse-vs-a_bowhead_whale,old,old,0.0,0,6 years,6
0.25134009112823064,0,a horse,a human,0,0,0.6988178022520007,0.7135984853309225,youthful,young,-1.0,-5.488353729248047,-0.8068609237670898,0.25134009112823064,age-v1_3b-p0006-a_horse-vs-a_human,old,old,0.0,0,6 years,6
0.6925831695682345,0,a horse,a galapagos tortoise,0,0,0.6988178022520007,0.47025952335982446,youthful,young,-1.0,-5.488353729248047,-1.6226329803466797,0.6925831695682345,age-v1_3b-p0006-a_horse-vs-a_galapagos_tortoise,old,old,0.0,0,6 years,6
0.4424834432363913,0,a bowhead whale,a horse,0,0,0.6345851639630431,0.6988178022520007,young,youthful,1.0,-1.1150293350219727,-5.488353729248047,-0.4424834432363913,age-v1_3b-p0006-a_bowhead_whale-vs-a_horse,old,old,0.0,0,6 years,6
0.029422530615336395,0,a domestic mouse,a domestic dog,1,0,0.7944981452153878,0.7164720473319023,old,mature,-1.0,0.8528943061828613,-3.7342615127563477,-0.029422530615336395,age-v1_3b-p0010-a_domestic_mouse-vs-a_domestic_dog,old,old,0.0,1,10 years,10
0.20306793208934426,0,a domestic mouse,a horse,1,0,0.7944981452153878,0.57204591460825,old,youthful,-2.0,0.8528943061828613,-5.803563117980957,0.20306793208934426,age-v1_3b-p0010-a_domestic_mouse-vs-a_horse,old,old,0.0,0,10 years,10
0.1541989490768776,0,a domestic mouse,a human,1,0,0.7944981452153878,0.6559619665290807,old,young,-3.0,0.8528943061828613,-1.1169757843017578,0.1541989490768776,age-v1_3b-p0010-a_domestic_mouse-vs-a_human,old,old,0.0,0,10 years,10
0.34942550284115814,0,a galapagos tortoise,a domestic mouse,0,1,0.5079448081963255,0.7944981452153878,young,old,3.0,-1.4883337020874023,0.8528943061828613,-0.34942550284115814,age-v1_3b-p0010-a_galapagos_tortoise-vs-a_domestic_mouse,old,old,0.0,0,10 years,10
0.22645677143919585,0,a bowhead whale,a domestic mouse,0,1,0.6048607503475862,0.7944981452153878,young,old,3.0,-1.2420854568481445,0.8528943061828613,-0.22645677143919585,age-v1_3b-p0010-a_bowhead_whale-vs-a_domestic_mouse,old,old,0.0,0,10 years,10
0.23249046270468066,0,a domestic dog,a horse,0,0,0.7164720473319023,0.57204591460825,mature,youthful,-1.0,-3.7342615127563477,-5.803563117980957,0.23249046270468066,age-v1_3b-p0010-a_domestic_dog-vs-a_horse,old,old,0.0,0,10 years,10
0.18362147969221398,0,a human,a domestic dog,0,0,0.6559619665290807,0.7164720473319023,young,mature,2.0,-1.1169757843017578,-3.7342615127563477,-0.18362147969221398,age-v1_3b-p0010-a_human-vs-a_domestic_dog,old,old,0.0,0,10 years,10
0.37884803345649454,0,a domestic dog,a galapagos tortoise,0,0,0.7164720473319023,0.5079448081963255,mature,young,-2.0,-3.7342615127563477,-1.4883337020874023,0.37884803345649454,age-v1_3b-p0010-a_domestic_dog-vs-a_galapagos_tortoise,old,old,0.0,0,10 years,10
0.25587930205453224,0,a domestic dog,a bowhead whale,0,0,0.7164720473319023,0.6048607503475862,mature,young,-2.0,-3.7342615127563477,-1.2420854568481445,0.25587930205453224,age-v1_3b-p0010-a_domestic_dog-vs-a_bowhead_whale,old,old,0.0,0,10 years,10
0.04886898301246667,0,a human,a horse,0,0,0.6559619665290807,0.57204591460825,young,youthful,1.0,-1.1169757843017578,-5.803563117980957,0.04886898301246667,age-v1_3b-p0010-a_human-vs-a_horse,old,old,0.0,1,10 years,10
0.14635757075181388,0,a galapagos tortoise,a horse,0,0,0.5079448081963255,0.57204591460825,young,youthful,1.0,-1.4883337020874023,-5.803563117980957,-0.14635757075181388,age-v1_3b-p0010-a_galapagos_tortoise-vs-a_horse,old,old,0.0,0,10 years,10
0.023388839349851587,0,a bowhead whale,a horse,0,0,0.6048607503475862,0.57204591460825,young,youthful,1.0,-1.2420854568481445,-5.803563117980957,-0.023388839349851587,age-v1_3b-p0010-a_bowhead_whale-vs-a_horse,old,old,0.0,0,10 years,10
0.3636539065767148,0,a horse,a domestic mouse,0,1,0.439211198693675,0.7926550148993836,mature,old,1.0,-5.646640777587891,1.073075294494629,-0.3636539065767148,age-v1_3b-p0018-a_horse-vs-a_domestic_mouse,old,old,0.0,0,18 years,18
0.25941846739202434,0,a human,a domestic mouse,0,1,0.5806239022362457,0.7926550148993836,youthful,old,2.0,-4.172987937927246,1.073075294494629,-0.25941846739202434,age-v1_3b-p0018-a_human-vs-a_domestic_mouse,old,old,0.0,0,18 years,18
0.39324798845853026,0,a domestic mouse,a galapagos tortoise,1,0,0.7926550148993836,0.4360849614605592,old,young,-3.0,1.073075294494629,-1.9178619384765625,0.39324798845853026,age-v1_3b-p0018-a_domestic_mouse-vs-a_galapagos_tortoise,old,old,0.0,0,18 years,18
0.1787056860492755,0,a domestic mouse,a bowhead whale,1,0,0.7926550148993836,0.6264004912087808,old,young,-3.0,1.073075294494629,-1.4046859741210938,0.1787056860492755,age-v1_3b-p0018-a_domestic_mouse-vs-a_bowhead_whale,old,old,0.0,0,18 years,18
0.1099653359884063,0,a horse,a domestic dog,0,1,0.439211198693675,0.5737927849420302,mature,old,1.0,-5.646640777587891,1.5727291107177734,-0.1099653359884063,age-v1_3b-p0018-a_horse-vs-a_domestic_dog,old,old,0.0,0,18 years,18
0.005729896803715828,0,a domestic dog,a human,1,0,0.5737927849420302,0.5806239022362457,old,youthful,-2.0,1.5727291107177734,-4.172987937927246,0.005729896803715828,age-v1_3b-p0018-a_domestic_dog-vs-a_human,old,old,0.0,0,18 years,18
0.13955941787022175,0,a galapagos tortoise,a domestic dog,0,1,0.4360849614605592,0.5737927849420302,young,old,3.0,-1.9178619384765625,1.5727291107177734,-0.13955941787022175,age-v1_3b-p0018-a_galapagos_tortoise-vs-a_domestic_dog,old,old,0.0,0,18 years,18
0.07498288453903301,0,a bowhead whale,a domestic dog,0,1,0.6264004912087808,0.5737927849420302,young,old,3.0,-1.4046859741210938,1.5727291107177734,0.07498288453903301,age-v1_3b-p0018-a_bowhead_whale-vs-a_domestic_dog,old,old,0.0,1,18 years,18
0.10423543918469047,0,a human,a horse,0,0,0.5806239022362457,0.439211198693675,youthful,mature,1.0,-4.172987937927246,-5.646640777587891,0.10423543918469047,age-v1_3b-p0018-a_human-vs-a_horse,old,old,0.0,1,18 years,18
0.02959408188181545,0,a horse,a galapagos tortoise,0,0,0.439211198693675,0.4360849614605592,mature,young,-2.0,-5.646640777587891,-1.9178619384765625,0.02959408188181545,age-v1_3b-p0018-a_horse-vs-a_galapagos_tortoise,old,old,0.0,0,18 years,18
0.1849482205274393,0,a horse,a bowhead whale,0,0,0.439211198693675,0.6264004912087808,mature,young,-2.0,-5.646640777587891,-1.4046859741210938,-0.1849482205274393,age-v1_3b-p0018-a_horse-vs-a_bowhead_whale,old,old,0.0,1,18 years,18
0.13382952106650592,0,a galapagos tortoise,a human,0,0,0.4360849614605592,0.5806239022362457,young,youthful,1.0,-1.9178619384765625,-4.172987937927246,-0.13382952106650592,age-v1_3b-p0018-a_galapagos_tortoise-vs-a_human,old,old,0.0,0,18 years,18
0.08071278134274884,0,a bowhead whale,a human,0,0,0.6264004912087808,0.5806239022362457,young,youthful,1.0,-1.4046859741210938,-4.172987937927246,0.08071278134274884,age-v1_3b-p0018-a_bowhead_whale-vs-a_human,old,old,0.0,1,18 years,18
0.43920974267747503,0,a human,a domestic mouse,0,1,0.4525125896767365,0.7790731428644213,youthful,old,2.0,-4.920235633850098,0.9786453247070312,-0.43920974267747503,age-v1_3b-p0030-a_human-vs-a_domestic_mouse,old,old,0.0,0,30 years,30
0.6106424580083596,0,a galapagos tortoise,a domestic mouse,0,1,0.2782280667482395,0.7790731428644213,youthful,old,2.0,-6.7723236083984375,0.9786453247070312,-0.6106424580083596,age-v1_3b-p0030-a_galapagos_tortoise-vs-a_domestic_mouse,old,old,0.0,0,30 years,30
0.3936155675461044,0,a bowhead whale,a domestic mouse,0,1,0.4702616943347341,0.7790731428644213,young,old,3.0,-1.7832417488098145,0.9786453247070312,-0.3936155675461044,age-v1_3b-p0030-a_bowhead_whale-vs-a_domestic_mouse,old,old,0.0,0,30 years,30
0.14967475037241407,0,a human,a domestic dog,0,1,0.4525125896767365,0.5359421040362277,youthful,old,2.0,-4.920235633850098,1.5279808044433594,-0.14967475037241407,age-v1_3b-p0030-a_human-vs-a_domestic_dog,old,old,0.0,0,30 years,30
0.3211074657032986,0,a galapagos tortoise,a domestic dog,0,1,0.2782280667482395,0.5359421040362277,youthful,old,2.0,-6.7723236083984375,1.5279808044433594,-0.3211074657032986,age-v1_3b-p0030-a_galapagos_tortoise-vs-a_domestic_dog,old,old,0.0,0,30 years,30
0.10408057524104342,0,a domestic dog,a bowhead whale,1,0,0.5359421040362277,0.4702616943347341,old,young,-3.0,1.5279808044433594,-1.7832417488098145,0.10408057524104342,age-v1_3b-p0030-a_domestic_dog-vs-a_bowhead_whale,old,old,0.0,0,30 years,30
0.027882133927765285,0,a human,a horse,0,1,0.4525125896767365,0.42555617315472266,youthful,old,2.0,-4.920235633850098,1.819951057434082,-0.027882133927765285,age-v1_3b-p0030-a_human-vs-a_horse,old,old,0.0,0,30 years,30
0.19931484925864984,0,a horse,a galapagos tortoise,1,0,0.42555617315472266,0.2782280667482395,old,youthful,-2.0,1.819951057434082,-6.7723236083984375,0.19931484925864984,age-v1_3b-p0030-a_horse-vs-a_galapagos_tortoise,old,old,0.0,0,30 years,30
0.017712041203605366,0,a horse,a bowhead whale,1,0,0.42555617315472266,0.4702616943347341,old,young,-3.0,1.819951057434082,-1.7832417488098145,-0.017712041203605366,age-v1_3b-p0030-a_horse-vs-a_bowhead_whale,old,old,0.0,1,30 years,30
0.04559417513137065,0,a bowhead whale,a human,0,0,0.4702616943347341,0.4525125896767365,young,youthful,1.0,-1.7832417488098145,-4.920235633850098,0.04559417513137065,age-v1_3b-p0030-a_bowhead_whale-vs-a_human,old,old,0.0,1,30 years,30
0.2170268904622552,0,a bowhead whale,a galapagos tortoise,0,0,0.4702616943347341,0.2782280667482395,young,youthful,1.0,-1.7832417488098145,-6.7723236083984375,0.2170268904622552,age-v1_3b-p0030-a_bowhead_whale-vs-a_galapagos_tortoise,old,old,0.0,1,30 years,30
