comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_mature,logscore_old,logscore_young,logscore_youthful,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_mature,prob_old,prob_young,prob_youthful,prompt,scale_type,side,source,standard_type,target,type,unit,value
a domestic mouse,a domestic dog,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.7650618598464874,old,3.0,False,False,-11.238298416137695,-8.23164176940918,-9.060052871704102,-13.24096965789795,0.8284111022949219,2.080274153411431,age-v1_3b-p0003-a_domestic_mouse-vs-a_domestic_dog,old,3.0,young_old,0.03312853394311498,0.669848528807802,0.2925514381472878,0.004471499101795374,"If the normal lifespan for a domestic mouse is 2 years, then someone aged 3 years would best be called",relative_open_age,a,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.6786220362861258,youthful,1.0,False,False,-13.71512508392334,-9.170266151428223,-9.951099395751953,-14.628084182739258,-5.457818031311035,2.0541029727851026,age-v1_3b-p0003-a_domestic_mouse-vs-a_domestic_dog,old,3.0,young_old,0.007211357234062086,0.6789286963860678,0.3109657772210954,0.002894169158774622,"If the normal lifespan for a domestic dog is 12 years, then someone aged 3 years would best be called",relative_open_age,b,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a horse,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.621246572057677,young,0.0,False,False,-15.701457977294922,-9.562807083129883,-10.482040405273438,-15.463117599487305,-0.9192333221435547,2.1422020476649792,age-v1_3b-p0003-a_horse-vs-a_domestic_mouse,old,3.0,young_old,0.001537223290217701,0.7123922159388756,0.28411960750298976,0.001950953267916825,"If the normal lifespan for a horse is 28 years, then someone aged 3 years would best be called",relative_open_age,a,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a horse,a domestic mouse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.7650618598464874,old,3.0,False,False,-11.238298416137695,-8.23164176940918,-9.060052871704102,-13.24096965789795,0.8284111022949219,2.080274153411431,age-v1_3b-p0003-a_horse-vs-a_domestic_mouse,old,3.0,young_old,0.03312853394311498,0.669848528807802,0.2925514381472878,0.004471499101795374,"If the normal lifespan for a domestic mouse is 2 years, then someone aged 3 years would best be called",relative_open_age,b,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a human,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.7155253272766673,young,0.0,False,False,-13.360040664672852,-8.883049964904785,-9.71570110321045,-12.841435432434082,-0.8326511383056641,2.0758290005844042,age-v1_3b-p0003-a_human-vs-a_domestic_mouse,old,3.0,young_old,0.007757546979419105,0.6824278949752454,0.2967843363455053,0.013030221699830258,"If the normal lifespan for a human is 80 years, then someone aged 3 years would best be called",relative_open_age,a,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a human,a domestic mouse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.7650618598464874,old,3.0,False,False,-11.238298416137695,-8.23164176940918,-9.060052871704102,-13.24096965789795,0.8284111022949219,2.080274153411431,age-v1_3b-p0003-a_human-vs-a_domestic_mouse,old,3.0,young_old,0.03312853394311498,0.669848528807802,0.2925514381472878,0.004471499101795374,"If the normal lifespan for a domestic mouse is 2 years, then someone aged 3 years would best be called",relative_open_age,b,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a galapagos tortoise,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.7650618598464874,old,3.0,False,False,-11.238298416137695,-8.23164176940918,-9.060052871704102,-13.24096965789795,0.8284111022949219,2.080274153411431,age-v1_3b-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,3.0,young_old,0.03312853394311498,0.669848528807802,0.2925514381472878,0.004471499101795374,"If the normal lifespan for a domestic mouse is 2 years, then someone aged 3 years would best be called",relative_open_age,a,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a galapagos tortoise,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.3729264156575768,young,0.0,False,False,-13.890271186828613,-7.66408109664917,-9.72578239440918,-14.353321075439453,-2.0617012977600098,2.6583887228360266,age-v1_3b-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,3.0,young_old,0.0017488210463089775,0.8845968135240219,0.1125537252583261,0.0011006401713432046,"If the normal lifespan for a galapagos tortoise is 150 years, then someone aged 3 years would best be called",relative_open_age,b,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a bowhead whale,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.6118939480040032,young,0.0,False,False,-12.584962844848633,-7.743586540222168,-8.82783317565918,-13.598041534423828,-1.0842466354370117,2.2378347702763257,age-v1_3b-p0003-a_bowhead_whale-vs-a_domestic_mouse,old,3.0,young_old,0.005853705668451623,0.7413339606670565,0.25068685672623897,0.0021254769382528325,"If the normal lifespan for a bowhead whale is 200 years, then someone aged 3 years would best be called",relative_open_age,a,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
a bowhead whale,a domestic mouse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.7650618598464874,old,3.0,False,False,-11.238298416137695,-8.23164176940918,-9.060052871704102,-13.24096965789795,0.8284111022949219,2.080274153411431,age-v1_3b-p0003-a_bowhead_whale-vs-a_domestic_mouse,old,3.0,young_old,0.03312853394311498,0.669848528807802,0.2925514381472878,0.004471499101795374,"If the normal lifespan for a domestic mouse is 2 years, then someone aged 3 years would best be called",relative_open_age,b,bierwisch_kennedy_age_v1_3_b,comparison_class_explicit,3 years,gradable_scalar,years,3
