abs_observed_ordered_shift,both_correct,comparison_a,comparison_b,correct_a,correct_b,entropy_a,entropy_b,expected_a,expected_b,expected_shift,margin_a,margin_b,observed_ordered_shift,pair_id,pred_a,pred_b,pred_shift,shift_direction_match,target,value
0.1703456110896524,0,a domestic mouse,a domestic dog,1,0,0.25957569711739265,0.4213896649759049,old,youthful,-2.0,2.7411766052246094,-5.8537702560424805,-0.1703456110896524,age-v1_3c-p0003-a_domestic_mouse-vs-a_domestic_dog,old,old,0.0,1,3 years,3
0.3795022403135384,0,a domestic mouse,a horse,1,0,0.25957569711739265,0.5193319897836761,old,young,-3.0,2.7411766052246094,-1.4666271209716797,-0.3795022403135384,age-v1_3c-p0003-a_domestic_mouse-vs-a_horse,old,old,0.0,1,3 years,3
0.13885391789153845,0,a human,a domestic mouse,0,1,0.14029466901398152,0.25957569711739265,young,old,3.0,-4.517164707183838,2.7411766052246094,-0.13885391789153845,age-v1_3c-p0003-a_human-vs-a_domestic_mouse,old,old,0.0,0,3 years,3
0.07271538930817689,0,a domestic mouse,a galapagos tortoise,1,0,0.25957569711739265,0.40100106817457737,old,young,-3.0,2.7411766052246094,-2.4588632583618164,-0.07271538930817689,age-v1_3c-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,old,0.0,1,3 years,3
0.12254529548559567,0,a bowhead whale,a domestic mouse,0,1,0.4441598209754291,0.25957569711739265,young,old,3.0,-2.2655200958251953,2.7411766052246094,0.12254529548559567,age-v1_3c-p0003-a_bowhead_whale-vs-a_domestic_mouse,old,old,0.0,1,3 years,3
0.209156629223886,0,a domestic dog,a horse,0,0,0.4213896649759049,0.5193319897836761,youthful,young,-1.0,-5.8537702560424805,-1.4666271209716797,-0.209156629223886,age-v1_3c-p0003-a_domestic_dog-vs-a_horse,old,old,0.0,1,3 years,3
0.30919952898119085,0,a domestic dog,a human,0,0,0.4213896649759049,0.14029466901398152,youthful,young,-1.0,-5.8537702560424805,-4.517164707183838,0.30919952898119085,age-v1_3c-p0003-a_domestic_dog-vs-a_human,old,old,0.0,0,3 years,3
0.09763022178147551,0,a galapagos tortoise,a domestic dog,0,0,0.40100106817457737,0.4213896649759049,young,youthful,1.0,-2.4588632583618164,-5.8537702560424805,-0.09763022178147551,age-v1_3c-p0003-a_galapagos_tortoise-vs-a_domestic_dog,old,old,0.0,0,3 years,3
0.04780031560405673,0,a domestic dog,a bowhead whale,0,0,0.4213896649759049,0.4441598209754291,youthful,young,-1.0,-5.8537702560424805,-2.2655200958251953,0.04780031560405673,age-v1_3c-p0003-a_domestic_dog-vs-a_bowhead_whale,old,old,0.0,0,3 years,3
0.2851826850325647,0,a domestic mouse,a horse,1,0,0.3159763918075696,0.546472019795767,old,youthful,-2.0,2.51265811920166,-6.17769718170166,-0.2851826850325647,age-v1_3c-p0006-a_domestic_mouse-vs-a_horse,old,old,0.0,1,6 years,6
0.19581694197512478,0,a domestic mouse,a human,1,0,0.3159763918075696,0.12153986189277219,old,young,-3.0,2.51265811920166,-4.9191203117370605,0.19581694197512478,age-v1_3c-p0006-a_domestic_mouse-vs-a_human,old,old,0.0,0,6 years,6
0.1006962935634621,0,a domestic mouse,a galapagos tortoise,1,0,0.3159763918075696,0.26128000726389755,old,young,-3.0,2.51265811920166,-3.2442760467529297,0.1006962935634621,age-v1_3c-p0006-a_domestic_mouse-vs-a_galapagos_tortoise,old,old,0.0,0,6 years,6
0.03509223426999375,0,a bowhead whale,a domestic mouse,0,1,0.4596660648721021,0.3159763918075696,young,old,3.0,-2.5094852447509766,2.51265811920166,0.03509223426999375,age-v1_3c-p0006-a_bowhead_whale-vs-a_domestic_mouse,old,old,0.0,1,6 years,6
0.4809996270076895,0,a human,a horse,0,0,0.12153986189277219,0.546472019795767,young,youthful,1.0,-4.9191203117370605,-6.17769718170166,-0.4809996270076895,age-v1_3c-p0006-a_human-vs-a_horse,old,old,0.0,0,6 years,6
0.3858789785960268,0,a horse,a galapagos tortoise,0,0,0.546472019795767,0.26128000726389755,youthful,young,-1.0,-6.17769718170166,-3.2442760467529297,0.3858789785960268,age-v1_3c-p0006-a_horse-vs-a_galapagos_tortoise,old,old,0.0,0,6 years,6
0.25009045076257097,0,a horse,a bowhead whale,0,0,0.546472019795767,0.4596660648721021,youthful,young,-1.0,-6.17769718170166,-2.5094852447509766,0.25009045076257097,age-v1_3c-p0006-a_horse-vs-a_bowhead_whale,old,old,0.0,0,6 years,6
0.15095828868558314,0,a domestic dog,a domestic mouse,0,1,0.5393078174632167,0.39358759210429295,mature,old,1.0,-3.8916287422180176,2.085583209991455,0.15095828868558314,age-v1_3c-p0010-a_domestic_dog-vs-a_domestic_mouse,old,old,0.0,1,10 years,10
0.4092240644254663,0,a horse,a domestic mouse,0,1,0.6526416827467532,0.39358759210429295,youthful,old,2.0,-5.7010393142700195,2.085583209991455,0.4092240644254663,age-v1_3c-p0010-a_horse-vs-a_domestic_mouse,old,old,0.0,1,10 years,10
0.28048000180767296,0,a human,a domestic mouse,0,1,0.15607194486449555,0.39358759210429295,young,old,3.0,-4.250655174255371,2.085583209991455,-0.28048000180767296,age-v1_3c-p0010-a_human-vs-a_domestic_mouse,old,old,0.0,0,10 years,10
0.008788984312584791,0,a domestic mouse,a galapagos tortoise,1,0,0.39358759210429295,0.474936864444323,old,young,-3.0,2.085583209991455,-2.107822895050049,-0.008788984312584791,age-v1_3c-p0010-a_domestic_mouse-vs-a_galapagos_tortoise,old,old,0.0,1,10 years,10
0.055168069099643446,0,a domestic mouse,a bowhead whale,1,0,0.39358759210429295,0.5479432608020831,old,young,-3.0,2.085583209991455,-2.5972824096679688,0.055168069099643446,age-v1_3c-p0010-a_domestic_mouse-vs-a_bowhead_whale,old,old,0.0,0,10 years,10
0.2582657757398832,0,a horse,a domestic dog,0,0,0.6526416827467532,0.5393078174632167,youthful,mature,1.0,-5.7010393142700195,-3.8916287422180176,0.2582657757398832,age-v1_3c-p0010-a_horse-vs-a_domestic_dog,old,old,0.0,1,10 years,10
0.4314382904932561,0,a human,a domestic dog,0,0,0.15607194486449555,0.5393078174632167,young,mature,2.0,-4.250655174255371,-3.8916287422180176,-0.4314382904932561,age-v1_3c-p0010-a_human-vs-a_domestic_dog,old,old,0.0,0,10 years,10
0.14216930437299835,0,a galapagos tortoise,a domestic dog,0,0,0.474936864444323,0.5393078174632167,young,mature,2.0,-2.107822895050049,-3.8916287422180176,-0.14216930437299835,age-v1_3c-p0010-a_galapagos_tortoise-vs-a_domestic_dog,old,old,0.0,0,10 years,10
0.2061263577852266,0,a domestic dog,a bowhead whale,0,0,0.5393078174632167,0.5479432608020831,mature,young,-2.0,-3.8916287422180176,-2.5972824096679688,0.2061263577852266,age-v1_3c-p0010-a_domestic_dog-vs-a_bowhead_whale,old,old,0.0,0,10 years,10
0.6897040662331393,0,a human,a horse,0,0,0.15607194486449555,0.6526416827467532,young,youthful,1.0,-4.250655174255371,-5.7010393142700195,-0.6897040662331393,age-v1_3c-p0010-a_human-vs-a_horse,old,old,0.0,0,10 years,10
0.40043508011288154,0,a horse,a galapagos tortoise,0,0,0.6526416827467532,0.474936864444323,youthful,young,-1.0,-5.7010393142700195,-2.107822895050049,0.40043508011288154,age-v1_3c-p0010-a_horse-vs-a_galapagos_tortoise,old,old,0.0,0,10 years,10
0.4643921335251098,0,a horse,a bowhead whale,0,0,0.6526416827467532,0.5479432608020831,youthful,young,-1.0,-5.7010393142700195,-2.5972824096679688,0.4643921335251098,age-v1_3c-p0010-a_horse-vs-a_bowhead_whale,old,old,0.0,0,10 years,10
0.41709463301137273,0,a domestic mouse,a horse,1,0,0.29639508247178853,0.6026022964572012,old,mature,-1.0,2.579803943634033,-3.885838508605957,-0.41709463301137273,age-v1_3c-p0018-a_domestic_mouse-vs-a_horse,old,old,0.0,1,18 years,18
