comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_mature,logscore_old,logscore_young,logscore_youthful,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_mature,prob_old,prob_young,prob_youthful,prompt,scale_type,side,source,standard_type,target,type,unit,value
a domestic mouse,a domestic dog,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.25957569711739265,old,3.0,False,False,-12.35234546661377,-6.7318925857543945,-9.473069190979004,-13.373788833618164,2.7411766052246094,2.813249249270962,age-v1_3c-p0003-a_domestic_mouse-vs-a_domestic_dog,old,3.0,young_old,0.003387811411716004,0.9350845869264497,0.06030773599365377,0.0012198656681804453,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",relative_open_age,a,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.4213896649759049,youthful,1.0,False,False,-10.528364181518555,-5.905726432800293,-7.938733100891113,-11.759496688842773,-5.8537702560424805,2.6429036381813096,age-v1_3c-p0003-a_domestic_mouse-vs-a_domestic_dog,old,3.0,young_old,0.008592621566632949,0.874403226096937,0.11449543557919806,0.002508716757231846,"For a domestic dog, normal is 12 years. Compared to that, 3 years is",relative_open_age,b,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a horse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.25957569711739265,old,3.0,False,False,-12.35234546661377,-6.7318925857543945,-9.473069190979004,-13.373788833618164,2.7411766052246094,2.813249249270962,age-v1_3c-p0003-a_domestic_mouse-vs-a_horse,old,3.0,young_old,0.003387811411716004,0.9350845869264497,0.06030773599365377,0.0012198656681804453,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",relative_open_age,a,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a horse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.5193319897836761,young,0.0,False,False,-13.681843757629395,-8.540436744689941,-10.007063865661621,-14.999883651733398,-1.4666271209716797,2.4337470089574236,age-v1_3c-p0003-a_domestic_mouse-vs-a_horse,old,3.0,young_old,0.0047244740821658785,0.807677836919389,0.18633313896352044,0.0012645500349246666,"For a horse, normal is 28 years. Compared to that, 3 years is",relative_open_age,b,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a human,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.14029466901398152,young,0.0,False,False,-9.590330123901367,-5.352691173553467,-9.869855880737305,-12.282197952270508,-4.517164707183838,2.9521031671625004,age-v1_3c-p0003-a_human-vs-a_domestic_mouse,old,3.0,young_old,0.01407101743913416,0.9743359202669796,0.010639690810593128,0.0009533714832930987,"For a human, normal is 80 years. Compared to that, 3 years is",relative_open_age,a,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a human,a domestic mouse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.25957569711739265,old,3.0,False,False,-12.35234546661377,-6.7318925857543945,-9.473069190979004,-13.373788833618164,2.7411766052246094,2.813249249270962,age-v1_3c-p0003-a_human-vs-a_domestic_mouse,old,3.0,young_old,0.003387811411716004,0.9350845869264497,0.06030773599365377,0.0012198656681804453,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",relative_open_age,b,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a galapagos tortoise,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.25957569711739265,old,3.0,False,False,-12.35234546661377,-6.7318925857543945,-9.473069190979004,-13.373788833618164,2.7411766052246094,2.813249249270962,age-v1_3c-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,3.0,young_old,0.003387811411716004,0.9350845869264497,0.06030773599365377,0.0012198656681804453,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",relative_open_age,a,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a galapagos tortoise,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.40100106817457737,young,0.0,False,False,-10.891729354858398,-7.3032379150390625,-9.762101173400879,-13.240410804748535,-2.4588632583618164,2.740533859962785,age-v1_3c-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,3.0,young_old,0.02477120292852269,0.8962086427421283,0.07665462844999416,0.0023655258793548167,"For a galapagos tortoise, normal is 150 years. Compared to that, 3 years is",relative_open_age,b,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a bowhead whale,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.4441598209754291,young,0.0,False,False,-10.72202205657959,-6.904754638671875,-9.17027473449707,-11.637746810913086,-2.2655200958251953,2.6907039537853663,age-v1_3c-p0003-a_bowhead_whale-vs-a_domestic_mouse,old,3.0,young_old,0.019379958583216554,0.8813958881650983,0.09146778112804681,0.007756372123638356,"For a bowhead whale, normal is 200 years. Compared to that, 3 years is",relative_open_age,a,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
a bowhead whale,a domestic mouse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.25957569711739265,old,3.0,False,False,-12.35234546661377,-6.7318925857543945,-9.473069190979004,-13.373788833618164,2.7411766052246094,2.813249249270962,age-v1_3c-p0003-a_bowhead_whale-vs-a_domestic_mouse,old,3.0,young_old,0.003387811411716004,0.9350845869264497,0.06030773599365377,0.0012198656681804453,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",relative_open_age,b,bierwisch_kennedy_age_v1_3_c,comparison_class_explicit,3 years,gradable_scalar,years,3
