layer,ordered_score,pair_id,pc1,pc2,pc3,rho,row_idx,side,standard,value,variant
20,1.8897945219722854,size-v2-fictional_semantic-p0090-Type_C_dax_rods-vs-Type_A_dax_rods,-1040.8965671356632,319.21936889530906,-404.9561471544487,0.6711682738411701,0,a,46.0,90.0,fictional_semantic_adjective_counts
20,1.2872310951976291,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_F_dax_rods,-836.3385320632282,-580.9461133370287,175.1116727010639,-2.639057329615259,1,b,350.0,25.0,fictional_semantic_adjective_counts
20,1.822909633000809,size-v2-fictional_semantic-p0200-Type_C_dax_rods-vs-Type_E_dax_rods,-677.0427714528905,210.27077869934615,-388.14646929896605,1.4696759700589417,2,a,46.0,200.0,fictional_semantic_adjective_counts
20,1.2972289972233104,size-v2-fictional_semantic-p0015-Type_A_dax_rods-vs-Type_F_dax_rods,-743.1823630557448,-631.2025440042172,185.57240797800975,-3.1498829533812494,3,b,350.0,15.0,fictional_semantic_adjective_counts
20,1.7992809608725169,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_C_dax_rods,-1136.886630920702,365.9082490550287,186.5926895402867,4.0943445622221,4,a,1.0,60.0,fictional_semantic_adjective_counts
20,1.7074967646333077,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_A_dax_rods,-543.1102922926563,359.40607836501664,275.0665282960728,6.214608098422191,5,b,1.0,500.0,fictional_semantic_adjective_counts
20,1.5561391650535916,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_E_dax_rods,-553.9817650164345,-372.97097942666915,286.74308714786855,-1.916922612182061,6,b,170.0,25.0,fictional_semantic_adjective_counts
20,1.75883856528425,size-v2-fictional_semantic-p0090-Type_B_dax_rods-vs-Type_C_dax_rods,-1349.9708762604398,459.26538628013117,-18.64828467513444,2.302585092994046,7,a,9.0,90.0,fictional_semantic_adjective_counts
20,1.3215851428309673,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_D_dax_rods,-1119.8368700385256,-308.17019662057146,-489.8744870134001,-2.0149030205422647,8,b,60.0,8.0,fictional_semantic_adjective_counts
20,1.316686060548989,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,-685.7199342957745,-507.75070880744,234.33715667782732,-4.037186148382152,9,a,170.0,3.0,fictional_semantic_adjective_counts
