comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
labrador dogs in this fictional setting,adult humans in this fictional setting,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.131018269461477,tiny,0.0,False,False,-8.268352508544922,-7.36323356628418,-7.265201568603516,-9.854372024536133,-2.589170455932617,1.6663965280499622,size-v2-counter_natural-p0025-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,small,1.0,tiny_huge,0.1561566624957267,0.3860545544920803,0.42581743157862134,0.031971351433571625,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 25 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
labrador dogs in this fictional setting,adult humans in this fictional setting,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.263366051421834,small,1.0,False,False,-12.613011360168457,-11.551637649536133,-7.262446403503418,-10.435176849365234,3.1727304458618164,0.9823811912010024,size-v2-counter_natural-p0025-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,small,1.0,tiny_huge,0.004475377754191282,0.012935357754747044,0.9430843424289346,0.03950492206212704,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 25 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
adult humans in this fictional setting,house mice in this fictional setting,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.263366051421834,small,1.0,False,False,-12.613011360168457,-11.551637649536133,-7.262446403503418,-10.435176849365234,3.1727304458618164,0.9823811912010024,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,small,1.0,tiny_huge,0.004475377754191282,0.012935357754747044,0.9430843424289346,0.03950492206212704,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 25 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
adult humans in this fictional setting,house mice in this fictional setting,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.4423513551730701,tiny,0.0,False,False,-9.783894538879395,-9.766660690307617,-5.428771018981934,-7.624899864196777,-2.1961288452148438,0.9362547376248666,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,small,1.0,tiny_huge,0.011292257495099598,0.01148855315727815,0.8794008588250114,0.09781833052261084,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 25 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
adult humans in this fictional setting,african elephants in this fictional setting,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.263366051421834,small,1.0,False,False,-12.613011360168457,-11.551637649536133,-7.262446403503418,-10.435176849365234,3.1727304458618164,0.9823811912010024,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,small,1.0,tiny_huge,0.004475377754191282,0.012935357754747044,0.9430843424289346,0.03950492206212704,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 25 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
adult humans in this fictional setting,african elephants in this fictional setting,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.5785954580583901,tiny,0.0,False,False,-10.406197547912598,-10.684985160827637,-7.425451278686523,-9.862948417663574,-2.437497138977051,1.044653715371547,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,small,1.0,tiny_huge,0.0431391373599427,0.03264341110580779,0.8499494810801034,0.07426797045414621,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 25 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
labrador dogs in this fictional setting,adult humans in this fictional setting,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1059708663915089,tiny,0.0,False,False,-9.184086799621582,-8.126309394836426,-7.787722587585449,-10.24100112915039,-2.4532785415649414,1.548192013261244,size-v2-counter_natural-p0040-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,small,1.0,tiny_huge,0.1209486396783225,0.348327592523956,0.48869090917836483,0.0420328586193568,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 40 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
labrador dogs in this fictional setting,adult humans in this fictional setting,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,1.040428812817881,large,2.0,False,False,-10.030778884887695,-9.466043472290039,-10.615666389465332,-13.517547607421875,0.5647354125976562,2.114030697146254,size-v2-counter_natural-p0040-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,large,2.0,tiny_huge,0.29879730122974657,0.5255791691062601,0.16648045524449379,0.009143074419499419,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 40 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
adult humans in this fictional setting,house mice in this fictional setting,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,1.040428812817881,large,2.0,False,False,-10.030778884887695,-9.466043472290039,-10.615666389465332,-13.517547607421875,0.5647354125976562,2.114030697146254,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,large,2.0,tiny_huge,0.29879730122974657,0.5255791691062601,0.16648045524449379,0.009143074419499419,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 40 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
adult humans in this fictional setting,house mice in this fictional setting,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.9091289138706611,tiny,0.0,False,False,-8.308377265930176,-8.39465045928955,-6.436108589172363,-8.68450927734375,-2.2484006881713867,1.2449609379305495,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,small,1.0,tiny_huge,0.1098069915369037,0.10073073925351164,0.7140784848128152,0.07538378439676947,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 40 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_counter_natural,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
