comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
Type B dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.43488689512057493,tiny,0.0,False,False,-13.502388954162598,-9.41236400604248,-7.467879295349121,-12.148114204406738,-4.680234909057617,1.1200047953500025,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,small,1.0,adjective_counts,0.0020737881686888194,0.12389097142308908,0.8660014879977579,0.008033752410464366,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 3 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type B dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6272833254456489,huge,3.0,False,False,-11.289582252502441,-8.06877326965332,-9.525798797607422,-13.648123741149902,-3.220808982849121,1.842901999297732,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,large,2.0,adjective_counts,0.03127208212328218,0.7833148617384075,0.1824560294510709,0.0029570266872395905,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type C dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.4537778737106868,tiny,0.0,False,False,-13.532014846801758,-10.267948150634766,-8.32889175415039,-12.908828735351562,-4.579936981201172,1.12468392491237,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,small,1.0,adjective_counts,0.004742487539358029,0.1240430262800781,0.8623704097341395,0.008844076446424268,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 3 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type C dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6272833254456489,huge,3.0,False,False,-11.289582252502441,-8.06877326965332,-9.525798797607422,-13.648123741149902,-3.220808982849121,1.842901999297732,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,large,2.0,adjective_counts,0.03127208212328218,0.7833148617384075,0.1824560294510709,0.0029570266872395905,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type A dax rods,Type D dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6272833254456489,huge,3.0,False,False,-11.289582252502441,-8.06877326965332,-9.525798797607422,-13.648123741149902,-3.220808982849121,1.842901999297732,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,large,2.0,adjective_counts,0.03127208212328218,0.7833148617384075,0.1824560294510709,0.0029570266872395905,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type A dax rods,Type D dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.5458162995417773,tiny,0.0,False,False,-13.381367683410645,-9.957403182983398,-8.48000431060791,-13.44441032409668,-4.9644060134887695,1.1900145025407067,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,small,1.0,adjective_counts,0.005984342218069029,0.18366453758338544,0.8047324007197287,0.005618719478816921,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 3 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type E dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6710089438869273,tiny,0.0,False,False,-12.673367500305176,-8.10167407989502,-7.335216522216797,-12.331153869628906,-4.995937347412109,1.316686060548989,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,small,1.0,adjective_counts,0.003254749351637697,0.3147594477017438,0.6774029170905882,0.004582885856030431,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 3 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type E dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6272833254456489,huge,3.0,False,False,-11.289582252502441,-8.06877326965332,-9.525798797607422,-13.648123741149902,-3.220808982849121,1.842901999297732,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,large,2.0,adjective_counts,0.03127208212328218,0.7833148617384075,0.1824560294510709,0.0029570266872395905,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type F dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7630960645629749,tiny,0.0,False,False,-13.089799880981445,-8.605236053466797,-8.273550033569336,-12.130964279174805,-3.8574142456054688,1.4080205562556982,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,small,1.0,adjective_counts,0.004635036928618668,0.4108417048016363,0.5724320358665695,0.012091222403175523,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 3 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type F dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6272833254456489,huge,3.0,False,False,-11.289582252502441,-8.06877326965332,-9.525798797607422,-13.648123741149902,-3.220808982849121,1.842901999297732,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,large,2.0,adjective_counts,0.03127208212328218,0.7833148617384075,0.1824560294510709,0.0029570266872395905,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
