comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
Type A dax rods,Type B dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0814300001561603,huge,3.0,False,False,-9.182119369506836,-7.784626007080078,-8.10144329071045,-10.5354585647583,-1.3974933624267578,1.701406687614266,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_B_dax_rods,large,2.0,tiny_huge,0.12121072707464925,0.49030318240290605,0.35716814158450605,0.031317948937938725,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, a dax body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type A dax rods,Type B dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7339875459929749,tiny,0.0,False,False,-9.50504207611084,-8.095515251159668,-6.079097747802734,-8.27006721496582,-2.190969467163086,1.0676032731165481,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_B_dax_rods,small,1.0,tiny_huge,0.025455668778230814,0.10421596003592466,0.7828043467100063,0.08752402447583812,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, a dax body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type C dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.5498292831213951,tiny,0.0,False,False,-9.928277015686035,-10.139082908630371,-6.686946868896484,-9.027934074401855,-2.340987205505371,1.0117126986684573,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,small,1.0,tiny_huge,0.03351421405546038,0.027144209785328978,0.8568816369314182,0.08245993922779261,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, a dax body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type C dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0814300001561603,huge,3.0,False,False,-9.182119369506836,-7.784626007080078,-8.10144329071045,-10.5354585647583,-1.3974933624267578,1.701406687614266,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,large,2.0,tiny_huge,0.12121072707464925,0.49030318240290605,0.35716814158450605,0.031317948937938725,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, a dax body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type D dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.5016086725137571,tiny,0.0,False,False,-9.786714553833008,-9.548545837402344,-6.528417110443115,-9.510917663574219,-2.9825005531311035,1.0659421805013491,size-v2-fictional_semantic-p0003-Type_D_dax_rods-vs-Type_A_dax_rods,small,1.0,tiny_huge,0.033793228133918815,0.0428810133099664,0.8788004694796598,0.04452528907645494,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, a dax body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type D dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0814300001561603,huge,3.0,False,False,-9.182119369506836,-7.784626007080078,-8.10144329071045,-10.5354585647583,-1.3974933624267578,1.701406687614266,size-v2-fictional_semantic-p0003-Type_D_dax_rods-vs-Type_A_dax_rods,large,2.0,tiny_huge,0.12121072707464925,0.49030318240290605,0.35716814158450605,0.031317948937938725,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, a dax body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type E dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.8487877211958559,tiny,0.0,False,False,-8.826437950134277,-6.945653915405273,-5.921378135681152,-8.854290008544922,-2.9329118728637695,1.2830901762255225,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,small,1.0,tiny_huge,0.037316895096027584,0.24474826939175612,0.6816429521539272,0.036291883358289,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, a dax body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type E dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0814300001561603,huge,3.0,False,False,-9.182119369506836,-7.784626007080078,-8.10144329071045,-10.5354585647583,-1.3974933624267578,1.701406687614266,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,large,2.0,tiny_huge,0.12121072707464925,0.49030318240290605,0.35716814158450605,0.031317948937938725,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, a dax body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type F dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7964774647276217,tiny,0.0,False,False,-8.483556747436523,-6.9204230308532715,-5.189897060394287,-7.338268756866455,-2.148371696472168,1.1012430161248399,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,small,1.0,tiny_huge,0.027887480909876045,0.13312806927717974,0.7513244348408521,0.08766001497209211,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, a dax body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Type F dax rods,Type A dax rods,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0814300001561603,huge,3.0,False,False,-9.182119369506836,-7.784626007080078,-8.10144329071045,-10.5354585647583,-1.3974933624267578,1.701406687614266,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,large,2.0,tiny_huge,0.12121072707464925,0.49030318240290605,0.35716814158450605,0.031317948937938725,"In this measurement task, a dax is a manufactured rod-like object. Only body length matters. The normal body length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, a dax body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_fictional_semantic,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
