comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
Scale class 60 objects,Scale class 30 objects,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.4431666060313155,small,1.0,False,False,-16.19159698486328,-12.058818817138672,-10.30434513092041,-16.807998657226562,1.7544736862182617,1.1503897770775509,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,small,1.0,adjective_counts,0.002356799446988148,0.1469485756118341,0.8494222275129184,0.0012723974282593368,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 45 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 60 objects,Scale class 30 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7569959788413058,large,2.0,False,False,-14.562089920043945,-10.87641716003418,-10.765682220458984,-16.658437728881836,-0.11073493957519531,1.4880887896397976,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,small,1.0,adjective_counts,0.011691020181839184,0.46614362803487597,0.5207284730245277,0.0014368787587569973,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 45 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 120 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7569959788413058,large,2.0,False,False,-14.562089920043945,-10.87641716003418,-10.765682220458984,-16.658437728881836,-0.11073493957519531,1.4880887896397976,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,small,1.0,adjective_counts,0.011691020181839184,0.46614362803487597,0.5207284730245277,0.0014368787587569973,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 45 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 120 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6072468879943037,tiny,0.0,False,False,-15.213191032409668,-11.005483627319336,-9.9437255859375,-15.745800018310547,-5.802074432373047,1.260793807928984,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,small,1.0,adjective_counts,0.0038008155082285776,0.25542352664870643,0.7385443081068854,0.002231349736179616,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 45 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 240 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7569959788413058,large,2.0,False,False,-14.562089920043945,-10.87641716003418,-10.765682220458984,-16.658437728881836,-0.11073493957519531,1.4880887896397976,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,small,1.0,adjective_counts,0.011691020181839184,0.46614362803487597,0.5207284730245277,0.0014368787587569973,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 45 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 240 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7289701154025593,tiny,0.0,False,False,-14.968424797058105,-11.135493278503418,-10.686025619506836,-16.02840232849121,-5.342376708984375,1.3988998367721335,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,small,1.0,adjective_counts,0.008336237201836592,0.3851155650763728,0.603659995013878,0.002888202707912585,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 45 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 60 objects,Scale class 120 objects,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.4431666060313155,small,1.0,False,False,-16.19159698486328,-12.058818817138672,-10.30434513092041,-16.807998657226562,1.7544736862182617,1.1503897770775509,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,small,1.0,adjective_counts,0.002356799446988148,0.1469485756118341,0.8494222275129184,0.0012723974282593368,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 45 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 60 objects,Scale class 120 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6072468879943037,tiny,0.0,False,False,-15.213191032409668,-11.005483627319336,-9.9437255859375,-15.745800018310547,-5.802074432373047,1.260793807928984,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_120_objects,small,1.0,adjective_counts,0.0038008155082285776,0.25542352664870643,0.7385443081068854,0.002231349736179616,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 45 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 240 objects,Scale class 60 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7289701154025593,tiny,0.0,False,False,-14.968424797058105,-11.135493278503418,-10.686025619506836,-16.02840232849121,-5.342376708984375,1.3988998367721335,size-v2-iso_ratio-p0045-Scale_class_240_objects-vs-Scale_class_60_objects,small,1.0,adjective_counts,0.008336237201836592,0.3851155650763728,0.603659995013878,0.002888202707912585,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 45 centimeters counts as",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 240 objects,Scale class 60 objects,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.4431666060313155,small,1.0,False,False,-16.19159698486328,-12.058818817138672,-10.30434513092041,-16.807998657226562,1.7544736862182617,1.1503897770775509,size-v2-iso_ratio-p0045-Scale_class_240_objects-vs-Scale_class_60_objects,small,1.0,adjective_counts,0.002356799446988148,0.1469485756118341,0.8494222275129184,0.0012723974282593368,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 45 centimeters counts as",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
