comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
Scale class 30 objects,Scale class 60 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.9954509430391595,large,2.0,False,False,-9.24293041229248,-7.437387943267822,-7.3986639976501465,-10.393290519714355,-0.03872394561767578,1.565955316906818,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_60_objects,small,1.0,tiny_huge,0.07286902233254253,0.44328197679396236,0.46078429632126583,0.023064704552229268,"The normal body length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter baseline for Scale class 30 objects, a body length of 45 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 60 objects,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.8597440214356147,small,1.0,False,False,-9.5656156539917,-6.881610870361328,-6.221144676208496,-9.116878509521484,0.660466194152832,1.3309650391712007,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_60_objects,small,1.0,tiny_huge,0.021951231971451,0.3214455117056173,0.6222203198456131,0.03438293647731862,"The normal body length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter baseline for Scale class 60 objects, a body length of 45 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 120 objects,Scale class 30 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7827678761824448,tiny,0.0,False,False,-7.7462286949157715,-7.08159875869751,-5.409424304962158,-8.666626930236816,-3.257202625274658,1.2589734730892805,size-v2-iso_ratio-p0045-Scale_class_120_objects-vs-Scale_class_30_objects,small,1.0,tiny_huge,0.07304470340866726,0.14198218122585904,0.7558750004115606,0.02909811495391305,"The normal body length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter baseline for Scale class 120 objects, a body length of 45 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 120 objects,Scale class 30 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.9954509430391595,large,2.0,False,False,-9.24293041229248,-7.437387943267822,-7.3986639976501465,-10.393290519714355,-0.03872394561767578,1.565955316906818,size-v2-iso_ratio-p0045-Scale_class_120_objects-vs-Scale_class_30_objects,small,1.0,tiny_huge,0.07286902233254253,0.44328197679396236,0.46078429632126583,0.023064704552229268,"The normal body length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter baseline for Scale class 30 objects, a body length of 45 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 240 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.9954509430391595,large,2.0,False,False,-9.24293041229248,-7.437387943267822,-7.3986639976501465,-10.393290519714355,-0.03872394561767578,1.565955316906818,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,small,1.0,tiny_huge,0.07286902233254253,0.44328197679396236,0.46078429632126583,0.023064704552229268,"The normal body length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter baseline for Scale class 30 objects, a body length of 45 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 240 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0454434145715448,tiny,0.0,False,False,-8.906261444091797,-7.338315010070801,-7.037005424499512,-9.517508506774902,-2.4805030822753906,1.4877288374509448,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,small,1.0,tiny_huge,0.07798528278174015,0.37407883374710127,0.5056153216115216,0.04232056185963694,"The normal body length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter baseline for Scale class 240 objects, a body length of 45 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 120 objects,Scale class 60 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7827678761824448,tiny,0.0,False,False,-7.7462286949157715,-7.08159875869751,-5.409424304962158,-8.666626930236816,-3.257202625274658,1.2589734730892805,size-v2-iso_ratio-p0045-Scale_class_120_objects-vs-Scale_class_60_objects,small,1.0,tiny_huge,0.07304470340866726,0.14198218122585904,0.7558750004115606,0.02909811495391305,"The normal body length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter baseline for Scale class 120 objects, a body length of 45 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 120 objects,Scale class 60 objects,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.8597440214356147,small,1.0,False,False,-9.5656156539917,-6.881610870361328,-6.221144676208496,-9.116878509521484,0.660466194152832,1.3309650391712007,size-v2-iso_ratio-p0045-Scale_class_120_objects-vs-Scale_class_60_objects,small,1.0,tiny_huge,0.021951231971451,0.3214455117056173,0.6222203198456131,0.03438293647731862,"The normal body length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter baseline for Scale class 60 objects, a body length of 45 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 60 objects,Scale class 240 objects,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.8597440214356147,small,1.0,False,False,-9.5656156539917,-6.881610870361328,-6.221144676208496,-9.116878509521484,0.660466194152832,1.3309650391712007,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_240_objects,small,1.0,tiny_huge,0.021951231971451,0.3214455117056173,0.6222203198456131,0.03438293647731862,"The normal body length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter baseline for Scale class 60 objects, a body length of 45 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 60 objects,Scale class 240 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0454434145715448,tiny,0.0,False,False,-8.906261444091797,-7.338315010070801,-7.037005424499512,-9.517508506774902,-2.4805030822753906,1.4877288374509448,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_240_objects,small,1.0,tiny_huge,0.07798528278174015,0.37407883374710127,0.5056153216115216,0.04232056185963694,"The normal body length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter baseline for Scale class 240 objects, a body length of 45 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,45 centimeters,gradable_scalar,centimeters,45
Scale class 30 objects,Scale class 120 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.091407206044687,huge,3.0,False,False,-10.215328216552734,-8.921046257019043,-8.694177627563477,-11.099620819091797,-1.5211505889892578,1.5431517201135376,size-v2-iso_ratio-p0060-Scale_class_30_objects-vs-Scale_class_120_objects,small,1.0,tiny_huge,0.10374659501180789,0.37850652012181246,0.47489889483448905,0.04284799003189065,"The normal body length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter baseline for Scale class 30 objects, a body length of 60 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
Scale class 30 objects,Scale class 120 objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7230419893415345,tiny,0.0,False,False,-8.532050132751465,-7.69804048538208,-5.809031963348389,-8.788700103759766,-2.979668140411377,1.1828216869254837,size-v2-iso_ratio-p0060-Scale_class_30_objects-vs-Scale_class_120_objects,small,1.0,tiny_huge,0.05180708338834152,0.11928749838859166,0.7888254399832758,0.04007997823979102,"The normal body length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter baseline for Scale class 120 objects, a body length of 60 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_iso_ratio,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
