comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
an ant,a house mouse,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1883933480692366,huge,3.0,False,False,-11.28067684173584,-9.593657493591309,-9.436378479003906,-10.553421020507812,-1.8442983627319336,1.3604900382651437,size-v2-natural-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.0675839771912832,0.3651799622377231,0.42737818221584806,0.13985787835514565,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a house mouse,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.4319519737263252,tiny,0.0,False,False,-13.134843826293945,-11.749063491821289,-8.094619750976562,-10.443222045898438,-2.348602294921875,0.9497432873707374,size-v2-natural-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.005738612081416966,0.022942652159587493,0.8866421468073115,0.08467658895168402,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.606115348776077,tiny,0.0,False,False,-13.396719932556152,-12.115592956542969,-9.355986595153809,-11.43820571899414,-2.082219123840332,0.978294261145142,size-v2-natural-p0003-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.01458629338278027,0.052520798569347556,0.829493783858106,0.10339912418976625,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1883933480692366,huge,3.0,False,False,-11.28067684173584,-9.593657493591309,-9.436378479003906,-10.553421020507812,-1.8442983627319336,1.3604900382651437,size-v2-natural-p0003-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.0675839771912832,0.3651799622377231,0.42737818221584806,0.13985787835514565,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a labrador dog,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.5878431281106447,tiny,0.0,False,False,-11.356757164001465,-11.129586219787598,-8.579068183898926,-11.818680763244629,-3.239612579345703,1.1383974248461,size-v2-natural-p0003-a_labrador_dog-vs-an_ant,small,1.0,tiny_huge,0.05272335240784902,0.06617014777644867,0.8478870720696554,0.033219427746046866,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a labrador dog,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1883933480692366,huge,3.0,False,False,-11.28067684173584,-9.593657493591309,-9.436378479003906,-10.553421020507812,-1.8442983627319336,1.3604900382651437,size-v2-natural-p0003-a_labrador_dog-vs-an_ant,small,1.0,tiny_huge,0.0675839771912832,0.3651799622377231,0.42737818221584806,0.13985787835514565,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an adult human,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7834172961645909,tiny,0.0,False,False,-13.505163192749023,-12.22404670715332,-10.284599304199219,-12.33473014831543,-2.050130844116211,1.072331555036903,size-v2-natural-p0003-an_adult_human-vs-an_ant,small,1.0,tiny_huge,0.030426318665726773,0.1095547544644919,0.7619430901107388,0.09807583675904244,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an adult human,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1883933480692366,huge,3.0,False,False,-11.28067684173584,-9.593657493591309,-9.436378479003906,-10.553421020507812,-1.8442983627319336,1.3604900382651437,size-v2-natural-p0003-an_adult_human-vs-an_ant,small,1.0,tiny_huge,0.0675839771912832,0.3651799622377231,0.42737818221584806,0.13985787835514565,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an african elephant,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.5895959369484258,tiny,0.0,False,False,-12.399321556091309,-11.296920776367188,-8.777338027954102,-11.335667610168457,-2.5583295822143555,1.0477086844155505,size-v2-natural-p0003-an_african_elephant-vs-an_ant,small,1.0,tiny_huge,0.022563163968716438,0.06794641931712164,0.844126353875158,0.06536406283900391,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an african elephant,an ant,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1883933480692366,huge,3.0,False,False,-11.28067684173584,-9.593657493591309,-9.436378479003906,-10.553421020507812,-1.8442983627319336,1.3604900382651437,size-v2-natural-p0003-an_african_elephant-vs-an_ant,small,1.0,tiny_huge,0.0675839771912832,0.3651799622377231,0.42737818221584806,0.13985787835514565,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_natural,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
