comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
Class B objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.622027216223979,tiny,0.0,False,False,-11.48121452331543,-11.12452220916748,-8.20697021484375,-10.403386116027832,-2.196415901184082,1.0154231603424537,size-v2-neutral-p0003-Class_B_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.03145629609548608,0.04493834643239433,0.8311775791912072,0.09242777828091252,"The normal body length for Class B objects is 9 centimeters. Compared only to that 9-centimeter baseline for Class B objects, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class B objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0052574169916315,huge,3.0,False,False,-10.027518272399902,-9.130696296691895,-7.645103931427002,-9.186612129211426,-2.3824143409729004,1.1285040114167444,size-v2-neutral-p0003-Class_B_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.06023629434994207,0.1476872766354096,0.6524205750960987,0.13965585391854948,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class A objects,Class C objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0052574169916315,huge,3.0,False,False,-10.027518272399902,-9.130696296691895,-7.645103931427002,-9.186612129211426,-2.3824143409729004,1.1285040114167444,size-v2-neutral-p0003-Class_A_objects-vs-Class_C_objects,small,1.0,tiny_huge,0.06023629434994207,0.1476872766354096,0.6524205750960987,0.13965585391854948,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class A objects,Class C objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.6423233552651424,tiny,0.0,False,False,-11.032569885253906,-10.984380722045898,-7.974168300628662,-10.11086654663086,-2.1366982460021973,1.02072215326449,size-v2-neutral-p0003-Class_A_objects-vs-Class_C_objects,small,1.0,tiny_huge,0.03867509723222387,0.04058445346721777,0.8235279546333826,0.09721249466717569,"The normal body length for Class C objects is 46 centimeters. Compared only to that 46-centimeter baseline for Class C objects, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class D objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.8505174720986509,tiny,0.0,False,False,-11.545938491821289,-10.938941955566406,-8.843536376953125,-10.623619079589844,-1.7800827026367188,1.065125052616652,size-v2-neutral-p0003-Class_D_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.04934483198862209,0.09054342546773228,0.7360037057153211,0.12410803682832447,"The normal body length for Class D objects is 60 centimeters. Compared only to that 60-centimeter baseline for Class D objects, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class D objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0052574169916315,huge,3.0,False,False,-10.027518272399902,-9.130696296691895,-7.645103931427002,-9.186612129211426,-2.3824143409729004,1.1285040114167444,size-v2-neutral-p0003-Class_D_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.06023629434994207,0.1476872766354096,0.6524205750960987,0.13965585391854948,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class E objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.7027282803372907,tiny,0.0,False,False,-11.542424201965332,-11.205862045288086,-8.77988052368164,-11.197616577148438,-2.417736053466797,1.1011812976603625,size-v2-neutral-p0003-Class_E_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.05088559241579477,0.07124623555958011,0.8060320492938183,0.07183612273080693,"The normal body length for Class E objects is 170 centimeters. Compared only to that 170-centimeter baseline for Class E objects, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class E objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0052574169916315,huge,3.0,False,False,-10.027518272399902,-9.130696296691895,-7.645103931427002,-9.186612129211426,-2.3824143409729004,1.1285040114167444,size-v2-neutral-p0003-Class_E_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.06023629434994207,0.1476872766354096,0.6524205750960987,0.13965585391854948,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class F objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.9781081528040518,tiny,0.0,False,False,-11.901918411254883,-10.17738151550293,-9.266470909118652,-11.354341506958008,-2.0878705978393555,1.2638515446113976,size-v2-neutral-p0003-Class_F_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.04486611768467769,0.2516954408039245,0.6258623099495155,0.0775761315618823,"The normal body length for Class F objects is 350 centimeters. Compared only to that 350-centimeter baseline for Class F objects, a body length of 3 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
Class F objects,Class A objects,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0052574169916315,huge,3.0,False,False,-10.027518272399902,-9.130696296691895,-7.645103931427002,-9.186612129211426,-2.3824143409729004,1.1285040114167444,size-v2-neutral-p0003-Class_F_objects-vs-Class_A_objects,small,1.0,tiny_huge,0.06023629434994207,0.1476872766354096,0.6524205750960987,0.13965585391854948,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_neutral,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
