comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
room air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7711057240908377,cold,0.0,False,False,-4.674950122833252,-6.232681751251221,-7.888707637786865,-7.285210132598877,1.5577316284179688,0.3611324010368909,temp-v1_2-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.7550965452485041,0.15903335930398566,0.030358850837884945,0.05551124460962519,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -30 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.5579522412936233,cool,1.0,False,False,-3.8061952590942383,-6.443706512451172,-8.821273803710938,-6.047140121459961,-2.6375112533569336,0.2567814070029699,temp-v1_2-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.8442137252769712,0.06039428239847581,0.005603139955388113,0.08978885236916488,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
swimming-pool water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.6122952489228699,cold,0.0,False,False,-5.65843391418457,-8.407506942749023,-9.142082214355469,-7.929726600646973,2.2712926864624023,0.30256450271988855,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.8348213430936593,0.05341783681932496,0.025625025726532115,0.08613579436048362,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -30 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.5579522412936233,cool,1.0,False,False,-3.8061952590942383,-6.443706512451172,-8.821273803710938,-6.047140121459961,-2.6375112533569336,0.2567814070029699,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.8442137252769712,0.06039428239847581,0.005603139955388113,0.08978885236916488,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
bath water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7156900375622806,cold,0.0,False,False,-5.232614517211914,-7.479844093322754,-8.799566268920898,-7.248015403747559,2.0154008865356445,0.3605988400557633,temp-v1_2-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.7891411598585795,0.08340561544442897,0.02228677521735087,0.10516644947964085,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -30 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.5579522412936233,cool,1.0,False,False,-3.8061952590942383,-6.443706512451172,-8.821273803710938,-6.047140121459961,-2.6375112533569336,0.2567814070029699,temp-v1_2-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.8442137252769712,0.06039428239847581,0.005603139955388113,0.08978885236916488,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.5579522412936233,cool,1.0,False,False,-3.8061952590942383,-6.443706512451172,-8.821273803710938,-6.047140121459961,-2.6375112533569336,0.2567814070029699,temp-v1_2-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.8442137252769712,0.06039428239847581,0.005603139955388113,0.08978885236916488,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.299488077657721,cold,0.0,False,False,-3.6099305152893066,-6.334782123565674,-8.923762321472168,-8.491072654724121,2.724851608276367,0.0885860221215847,temp-v1_2-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.9275858764679532,0.0608087547437987,0.0045665298012899334,0.007038838986958097,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -30 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.5579522412936233,cool,1.0,False,False,-3.8061952590942383,-6.443706512451172,-8.821273803710938,-6.047140121459961,-2.6375112533569336,0.2567814070029699,temp-v1_2-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.8442137252769712,0.06039428239847581,0.005603139955388113,0.08978885236916488,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,heated oven air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.5210217883423984,cold,0.0,False,False,-3.7484688758850098,-6.212954044342041,-7.168476581573486,-7.121058940887451,2.4644851684570312,0.21855574496633098,temp-v1_2-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.8680062156264432,0.07382620183705244,0.02839437805627004,0.029773204480234197,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -30 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
