abs_observed_ordered_shift,both_correct,comparison_a,comparison_b,correct_a,correct_b,entropy_a,entropy_b,expected_a,expected_b,expected_shift,margin_a,margin_b,observed_ordered_shift,pair_id,pred_a,pred_b,pred_shift,shift_direction_match,target,value
0.7924200279145446,0,room air,freezer air,0,0,1.2404342774978419,1.2363187076215474,cold,cool,1.0,-0.5476455688476562,-1.415914535522461,-0.7924200279145446,temp-v1_3a-m030-room_air-vs-freezer_air,hot,cold,-3.0,0,-30 degrees Celsius,-30
0.03715787835835882,0,swimming-pool water,freezer air,1,0,1.1897992593968236,1.2363187076215474,cold,cool,1.0,0.7474555969238281,-1.415914535522461,0.03715787835835882,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,cold,cold,0.0,1,-30 degrees Celsius,-30
0.42100421068942606,0,bath water,freezer air,0,0,1.2884457188985838,1.2363187076215474,cold,cool,1.0,-0.10747814178466797,-1.415914535522461,-0.42100421068942606,temp-v1_3a-m030-bath_water-vs-freezer_air,warm,cold,-2.0,0,-30 degrees Celsius,-30
0.7625619202336174,0,freezer air,freshly served tea,0,0,1.2363187076215474,1.10300533140206,cool,cold,-1.0,-1.415914535522461,-0.5368328094482422,0.7625619202336174,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,cold,hot,3.0,0,-30 degrees Celsius,-30
0.316849832588624,0,heated oven air,freezer air,1,0,1.201451085831567,1.2363187076215474,cold,cool,1.0,0.15996551513671875,-1.415914535522461,-0.316849832588624,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,cold,cold,0.0,0,-30 degrees Celsius,-30
0.5863679401692132,0,freezer air,room air,1,0,1.2685213141740044,1.206949675121034,warm,cold,-2.0,0.16832542419433594,-0.9269294738769531,0.5863679401692132,temp-v1_3a-m010-freezer_air-vs-room_air,warm,warm,0.0,0,-10 degrees Celsius,-10
0.12136837474288509,1,swimming-pool water,freezer air,1,1,1.2775941125822623,1.2685213141740044,cold,warm,2.0,0.3530616760253906,0.16832542419433594,0.12136837474288509,temp-v1_3a-m010-swimming_pool_water-vs-freezer_air,cold,warm,2.0,1,-10 degrees Celsius,-10
0.4063975102201782,0,bath water,freezer air,0,1,1.2496990603203995,1.2685213141740044,cold,warm,2.0,-0.5336713790893555,0.16832542419433594,-0.4063975102201782,temp-v1_3a-m010-bath_water-vs-freezer_air,warm,warm,0.0,0,-10 degrees Celsius,-10
0.623587637166652,0,freezer air,freshly served tea,1,0,1.2685213141740044,1.0876787131866663,warm,cold,-2.0,0.16832542419433594,-0.8106279373168945,0.623587637166652,temp-v1_3a-m010-freezer_air-vs-freshly_served_tea,warm,hot,1.0,0,-10 degrees Celsius,-10
0.021557648481772107,1,heated oven air,freezer air,1,1,1.2025678472276984,1.2685213141740044,cold,warm,2.0,0.036151885986328125,0.16832542419433594,-0.021557648481772107,temp-v1_3a-m010-heated_oven_air-vs-freezer_air,cold,warm,2.0,0,-10 degrees Celsius,-10
0.6319678453776885,0,freezer air,room air,0,0,1.2504766865216639,1.143652972365908,hot,cool,-2.0,-0.6468620300292969,-2.1572089195251465,0.6319678453776885,temp-v1_3a-p005-freezer_air-vs-room_air,warm,warm,0.0,0,5 degrees Celsius,5
0.5694586913004096,0,freezer air,swimming-pool water,0,0,1.2504766865216639,1.1711693840771495,hot,cold,-3.0,-0.6468620300292969,-0.7684059143066406,0.5694586913004096,temp-v1_3a-p005-freezer_air-vs-swimming_pool_water,warm,hot,1.0,0,5 degrees Celsius,5
0.6022252608225276,0,freezer air,bath water,0,0,1.2504766865216639,1.149538482657645,hot,cold,-3.0,-0.6468620300292969,-1.2788524627685547,0.6022252608225276,temp-v1_3a-p005-freezer_air-vs-bath_water,warm,warm,0.0,0,5 degrees Celsius,5
0.9452468313509985,0,freshly served tea,freezer air,0,0,0.9929422077971126,1.2504766865216639,cold,hot,3.0,-1.7167158126831055,-0.6468620300292969,-0.9452468313509985,temp-v1_3a-p005-freshly_served_tea-vs-freezer_air,hot,warm,-1.0,0,5 degrees Celsius,5
0.30873215128653597,0,heated oven air,freezer air,0,0,1.155807523827829,1.2504766865216639,cold,hot,3.0,-0.5795965194702148,-0.6468620300292969,-0.30873215128653597,temp-v1_3a-p005-heated_oven_air-vs-freezer_air,warm,warm,0.0,0,5 degrees Celsius,5
0.06250915407727886,0,swimming-pool water,room air,0,0,1.1711693840771495,1.143652972365908,cold,cool,1.0,-0.7684059143066406,-2.1572089195251465,0.06250915407727886,temp-v1_3a-p005-swimming_pool_water-vs-room_air,hot,warm,-1.0,1,5 degrees Celsius,5
0.029742584555160878,0,room air,bath water,0,0,1.143652972365908,1.149538482657645,cool,cold,-1.0,-2.1572089195251465,-1.2788524627685547,-0.029742584555160878,temp-v1_3a-p005-room_air-vs-bath_water,warm,warm,0.0,1,5 degrees Celsius,5
0.31327898597331005,0,room air,freshly served tea,0,0,1.143652972365908,0.9929422077971126,cool,cold,-1.0,-2.1572089195251465,-1.7167158126831055,0.31327898597331005,temp-v1_3a-p005-room_air-vs-freshly_served_tea,warm,hot,1.0,0,5 degrees Celsius,5
0.3232356940911525,0,heated oven air,room air,0,0,1.155807523827829,1.143652972365908,cold,cool,1.0,-0.5795965194702148,-2.1572089195251465,0.3232356940911525,temp-v1_3a-p005-heated_oven_air-vs-room_air,warm,warm,0.0,1,5 degrees Celsius,5
0.3648576521440292,0,freezer air,room air,0,0,1.218631181611587,1.1833903241664578,hot,cool,-2.0,-0.9216451644897461,-2.3221840858459473,0.3648576521440292,temp-v1_3a-p015-freezer_air-vs-room_air,warm,warm,0.0,0,15 degrees Celsius,15
0.2680656357687099,0,freezer air,swimming-pool water,0,0,1.218631181611587,1.231595666394678,hot,cool,-2.0,-0.9216451644897461,-1.9982185363769531,0.2680656357687099,temp-v1_3a-p015-freezer_air-vs-swimming_pool_water,warm,warm,0.0,0,15 degrees Celsius,15
0.3780148284546112,0,bath water,freezer air,0,0,1.2353212078276052,1.218631181611587,cold,hot,3.0,-0.8068342208862305,-0.9216451644897461,-0.3780148284546112,temp-v1_3a-p015-bath_water-vs-freezer_air,warm,warm,0.0,0,15 degrees Celsius,15
0.7660303794513477,0,freezer air,freshly served tea,0,0,1.218631181611587,1.056269136499554,hot,cold,-3.0,-0.9216451644897461,-1.3535280227661133,0.7660303794513477,temp-v1_3a-p015-freezer_air-vs-freshly_served_tea,warm,hot,1.0,0,15 degrees Celsius,15
0.16754198374699225,0,heated oven air,freezer air,0,0,1.1696029260539118,1.218631181611587,cold,hot,3.0,-0.3635377883911133,-0.9216451644897461,-0.16754198374699225,temp-v1_3a-p015-heated_oven_air-vs-freezer_air,warm,warm,0.0,0,15 degrees Celsius,15
0.013157176310581997,0,room air,bath water,0,0,1.1833903241664578,1.2353212078276052,cool,cold,-1.0,-2.3221840858459473,-0.8068342208862305,0.013157176310581997,temp-v1_3a-p015-room_air-vs-bath_water,warm,warm,0.0,0,15 degrees Celsius,15
0.40117272730731846,0,room air,freshly served tea,0,0,1.1833903241664578,1.056269136499554,cool,cold,-1.0,-2.3221840858459473,-1.3535280227661133,0.40117272730731846,temp-v1_3a-p015-room_air-vs-freshly_served_tea,warm,hot,1.0,0,15 degrees Celsius,15
0.19731566839703696,0,room air,heated oven air,0,0,1.1833903241664578,1.1696029260539118,cool,cold,-1.0,-2.3221840858459473,-0.3635377883911133,-0.19731566839703696,temp-v1_3a-p015-room_air-vs-heated_oven_air,warm,warm,0.0,1,15 degrees Celsius,15
