comparison_a,comparison_b,correct,design,dimension,entropy,expected_label,expected_label_index,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,side,source,target,type,unit,value
household freezer,swimming pool,0,same_scalar_different_comparison_class,temperature,0.8439206294995614,warm,2.0,-4.876441753500042,-8.571430028597147,-5.677007184446151,-7.568344898646359,-2.691903145146317,0.9778823738903782,temp-005-freezer-vs-pool,cold,0.0,warm_cold,0.6486453143846178,0.016117373366092782,0.2912903760257065,0.04394693622358298,"For the inside of a household freezer, 5 degrees Celsius is",a,bierwisch_edgington_v0,5 degrees Celsius,gradable_scalar,celsius,5
household freezer,swimming pool,1,same_scalar_different_comparison_class,temperature,0.8069642350115321,cold,0.0,-4.227848826099131,-7.377715998437753,-5.009529603974448,-7.894730409529457,0.7816807778753168,0.9612256487258901,temp-005-freezer-vs-pool,cold,0.0,warm_cold,0.6552865072214611,0.02808415064602979,0.29988281381484216,0.01674652831766687,"For swimming-pool water, 5 degrees Celsius is",b,bierwisch_edgington_v0,5 degrees Celsius,gradable_scalar,celsius,5
household freezer,indoor room,0,same_scalar_different_comparison_class,temperature,0.8439206294995614,warm,2.0,-4.876441753500042,-8.571430028597147,-5.677007184446151,-7.568344898646359,-2.691903145146317,0.9778823738903782,temp-005-freezer-vs-room,cold,0.0,warm_cold,0.6486453143846178,0.016117373366092782,0.2912903760257065,0.04394693622358298,"For the inside of a household freezer, 5 degrees Celsius is",a,bierwisch_edgington_v0,5 degrees Celsius,gradable_scalar,celsius,5
household freezer,indoor room,1,same_scalar_different_comparison_class,temperature,1.0353869762375294,cold,0.0,-5.583943463969261,-7.655169692760946,-5.645243167990297,-7.794632700985436,0.06129970402103613,1.455247137142588,temp-005-freezer-vs-room,cold,0.0,warm_cold,0.4595171117437428,0.057913467233058534,0.4321948278631319,0.050374593160066795,"For an indoor room, 5 degrees Celsius is",b,bierwisch_edgington_v0,5 degrees Celsius,gradable_scalar,celsius,5
household freezer,indoor room,0,same_scalar_different_comparison_class,temperature,0.8802124589712446,hot,3.0,-4.724906978710676,-8.151565189002893,-5.443008857717757,-7.294763221256737,-0.7181018790070812,1.0325045587302668,temp-015-freezer-vs-room,cold,0.0,warm_cold,0.6262842942043133,0.020351328693315976,0.3054244758322095,0.04793990127016106,"For the inside of a household freezer, 15 degrees Celsius is",a,bierwisch_edgington_v0,15 degrees Celsius,gradable_scalar,celsius,15
household freezer,indoor room,0,same_scalar_different_comparison_class,temperature,1.1295267613832973,cool,1.0,-5.116414891785322,-6.65999087358171,-5.463406385255698,-7.140217723446151,-1.5435759817963879,1.2658970006005454,temp-015-freezer-vs-room,cold,0.0,warm_cold,0.48719193237244485,0.10407191757428827,0.34435278291972315,0.06438336713354369,"For an indoor room, 15 degrees Celsius is",b,bierwisch_edgington_v0,15 degrees Celsius,gradable_scalar,celsius,15
household freezer,freshly served tea,0,same_scalar_different_comparison_class,temperature,0.8802124589712446,hot,3.0,-4.724906978710676,-8.151565189002893,-5.443008857717757,-7.294763221256737,-0.7181018790070812,1.0325045587302668,temp-015-freezer-vs-tea,cold,0.0,warm_cold,0.6262842942043133,0.020351328693315976,0.3054244758322095,0.04793990127016106,"For the inside of a household freezer, 15 degrees Celsius is",a,bierwisch_edgington_v0,15 degrees Celsius,gradable_scalar,celsius,15
household freezer,freshly served tea,0,same_scalar_different_comparison_class,temperature,1.023695376116088,cold,0.0,-6.815469209700442,-8.294444702965247,-5.937275223859519,-7.9066391355359285,-0.8781939858409231,2.0450044119130473,temp-015-freezer-vs-tea,hot,3.0,warm_cold,0.2518736936694757,0.057394716554419974,0.6061465158064185,0.08458507396968579,"For freshly served tea, 15 degrees Celsius is",b,bierwisch_edgington_v0,15 degrees Celsius,gradable_scalar,celsius,15
indoor room,freshly served tea,0,same_scalar_different_comparison_class,temperature,1.147912480692389,warm,2.0,-5.18198091412892,-6.232327632065317,-4.6644741755122485,-6.496888590234893,-1.8324144147226447,1.7961329595275706,temp-025-room-vs-tea,hot,3.0,warm_cold,0.30338381962534205,0.10612864787087833,0.5090292466491328,0.08145828585464684,"For an indoor room, 25 degrees Celsius is",a,bierwisch_edgington_v0,25 degrees Celsius,gradable_scalar,celsius,25
indoor room,freshly served tea,0,same_scalar_different_comparison_class,temperature,0.9778894897104398,cold,0.0,-6.546090522685669,-8.19992338457929,-5.494400638474543,-7.41057839483739,-1.0516898842111262,2.1499796807275917,temp-025-room-vs-tea,hot,3.0,warm_cold,0.22346035362244066,0.042751365983848634,0.6396517539563215,0.09413652643738932,"For freshly served tea, 25 degrees Celsius is",b,bierwisch_edgington_v0,25 degrees Celsius,gradable_scalar,celsius,25
bath water,indoor room,0,same_scalar_different_comparison_class,temperature,0.8542621270754631,cool,1.0,-6.088088926380236,-8.507653574350934,-5.3706434782285335,-8.444677986421494,-3.137010096122401,1.9876987694036778,temp-025-bath-vs-room,hot,3.0,warm_cold,0.30932029131547056,0.027517237694739616,0.6338565897293585,0.02930588126043144,"For bath water, 25 degrees Celsius is",a,bierwisch_edgington_v0,25 degrees Celsius,gradable_scalar,celsius,25
bath water,indoor room,0,same_scalar_different_comparison_class,temperature,1.147912480692389,warm,2.0,-5.18198091412892,-6.232327632065317,-4.6644741755122485,-6.496888590234893,-1.8324144147226447,1.7961329595275706,temp-025-bath-vs-room,hot,3.0,warm_cold,0.30338381962534205,0.10612864787087833,0.5090292466491328,0.08145828585464684,"For an indoor room, 25 degrees Celsius is",b,bierwisch_edgington_v0,25 degrees Celsius,gradable_scalar,celsius,25
freshly served tea,bath water,0,same_scalar_different_comparison_class,temperature,0.9646523372181154,cool,1.0,-7.054846421785912,-8.978755102032633,-6.048758528756089,-7.956087855356867,-2.9299965732765436,2.1373567657387316,temp-035-tea-vs-bath,hot,3.0,warm_cold,0.2332643774122599,0.03406477288431569,0.637950293447567,0.09472055625585744,"For freshly served tea, 35 degrees Celsius is",a,bierwisch_edgington_v0,35 degrees Celsius,gradable_scalar,celsius,35
freshly served tea,bath water,0,same_scalar_different_comparison_class,temperature,0.9295711347507841,warm,2.0,-5.775502462795417,-8.542677549932058,-5.858541439888671,-8.463579672429839,-2.6880772096344225,1.4429880752884872,temp-035-tea-vs-bath,cold,0.0,warm_cold,0.4875275507925913,0.030635875253628913,0.4486790521272988,0.03315752182648092,"For bath water, 35 degrees Celsius is",b,bierwisch_edgington_v0,35 degrees Celsius,gradable_scalar,celsius,35
bath water,swimming pool,0,same_scalar_different_comparison_class,temperature,0.9295711347507841,warm,2.0,-5.775502462795417,-8.542677549932058,-5.858541439888671,-8.463579672429839,-2.6880772096344225,1.4429880752884872,temp-035-bath-vs-pool,cold,0.0,warm_cold,0.4875275507925913,0.030635875253628913,0.4486790521272988,0.03315752182648092,"For bath water, 35 degrees Celsius is",a,bierwisch_edgington_v0,35 degrees Celsius,gradable_scalar,celsius,35
