comparison,correct,domain,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_cold,prob_cool,prob_hot,prob_huge,prob_large,prob_mass_in_label_order,prob_mature,prob_old,prob_small,prob_tiny,prob_warm,prob_young,prob_youthful,prompt,prompt_hash,side,standard,target,value
room air,1,temperature,0.7711057240908377,cold,0.0,0.3611324010368909,temp-v1_2-m030-room_air-vs-freezer_air,cold,0.0,-51.0,0.7550965452485041,0.15903335930398566,0.030358850837884945,,,0.9999999999999999,,,,,0.05551124460962519,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -30 degrees Celsius feels",3b6b58b77f32bf8b,a,21.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5579522412936233,cool,1.0,0.2567814070029699,temp-v1_2-m030-room_air-vs-freezer_air,cold,0.0,-12.0,0.8442137252769712,0.06039428239847581,0.005603139955388113,,,1.0,,,,,0.08978885236916488,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",4661a5b3e012bc3c,b,-18.0,-30 degrees Celsius,-30.0
swimming-pool water,1,temperature,0.6122952489228699,cold,0.0,0.30256450271988855,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,cold,0.0,-57.0,0.8348213430936593,0.05341783681932496,0.025625025726532115,,,1.0,,,,,0.08613579436048362,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -30 degrees Celsius feels",bd8eca9299b35aff,a,27.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5579522412936233,cool,1.0,0.2567814070029699,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,cold,0.0,-12.0,0.8442137252769712,0.06039428239847581,0.005603139955388113,,,1.0,,,,,0.08978885236916488,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",4661a5b3e012bc3c,b,-18.0,-30 degrees Celsius,-30.0
bath water,1,temperature,0.7156900375622806,cold,0.0,0.3605988400557633,temp-v1_2-m030-bath_water-vs-freezer_air,cold,0.0,-68.0,0.7891411598585795,0.08340561544442897,0.02228677521735087,,,1.0,,,,,0.10516644947964085,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -30 degrees Celsius feels",e10a81cc7e551ff5,a,38.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5579522412936233,cool,1.0,0.2567814070029699,temp-v1_2-m030-bath_water-vs-freezer_air,cold,0.0,-12.0,0.8442137252769712,0.06039428239847581,0.005603139955388113,,,1.0,,,,,0.08978885236916488,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",4661a5b3e012bc3c,b,-18.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5579522412936233,cool,1.0,0.2567814070029699,temp-v1_2-m030-freezer_air-vs-freshly_served_tea,cold,0.0,-12.0,0.8442137252769712,0.06039428239847581,0.005603139955388113,,,1.0,,,,,0.08978885236916488,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",4661a5b3e012bc3c,a,-18.0,-30 degrees Celsius,-30.0
freshly served tea,1,temperature,0.299488077657721,cold,0.0,0.0885860221215847,temp-v1_2-m030-freezer_air-vs-freshly_served_tea,cold,0.0,-110.0,0.9275858764679532,0.0608087547437987,0.0045665298012899334,,,0.9999999999999999,,,,,0.007038838986958097,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -30 degrees Celsius feels",d22da3a067f3a38a,b,80.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5579522412936233,cool,1.0,0.2567814070029699,temp-v1_2-m030-freezer_air-vs-heated_oven_air,cold,0.0,-12.0,0.8442137252769712,0.06039428239847581,0.005603139955388113,,,1.0,,,,,0.08978885236916488,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",4661a5b3e012bc3c,a,-18.0,-30 degrees Celsius,-30.0
heated oven air,1,temperature,0.5210217883423984,cold,0.0,0.21855574496633098,temp-v1_2-m030-freezer_air-vs-heated_oven_air,cold,0.0,-210.0,0.8680062156264432,0.07382620183705244,0.02839437805627004,,,0.9999999999999999,,,,,0.029773204480234197,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -30 degrees Celsius feels",f2cb2d8a0082f3fd,b,180.0,-30 degrees Celsius,-30.0
room air,1,temperature,0.9719071874228272,cold,0.0,0.5615579061282461,temp-v1_2-m010-room_air-vs-freezer_air,cold,0.0,-31.0,0.6712786608507333,0.16724241595278075,0.07135764378249339,,,1.0,,,,,0.09012127941399257,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -10 degrees Celsius feels",4ec363c71d63e704,a,21.0,-10 degrees Celsius,-10.0
freezer air,1,temperature,0.9992685343269937,warm,2.0,1.1041698849968122,temp-v1_2-m010-room_air-vs-freezer_air,warm,2.0,8.0,0.4248588356800439,0.07169486157474433,0.025582417931644473,,,1.0,,,,,0.47786388481356723,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",47245ab28440a761,b,-18.0,-10 degrees Celsius,-10.0
freezer air,1,temperature,0.9992685343269937,warm,2.0,1.1041698849968122,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,warm,2.0,8.0,0.4248588356800439,0.07169486157474433,0.025582417931644473,,,1.0,,,,,0.47786388481356723,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",47245ab28440a761,a,-18.0,-10 degrees Celsius,-10.0
swimming-pool water,1,temperature,0.8142437857043696,cold,0.0,0.5120671112774549,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,cold,0.0,-37.0,0.7576142307150858,0.05766258429009022,0.08495815699771679,,,1.0,,,,,0.09976502799710715,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -10 degrees Celsius feels",3eab7ac890a170c4,b,27.0,-10 degrees Celsius,-10.0
bath water,1,temperature,0.6759721483151204,cold,0.0,0.32817382963749975,temp-v1_2-m010-bath_water-vs-freezer_air,cold,0.0,-48.0,0.8090377181867803,0.07832758661968033,0.024576852630740817,,,0.9999999999999999,,,,,0.08805784256279847,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -10 degrees Celsius feels",b9f94ba83d595ceb,a,38.0,-10 degrees Celsius,-10.0
