abs_observed_ordered_shift,aligned_observed_shift,comparison_a,comparison_b,domain,expected_a,expected_b,expected_shift,expected_shift_sign,observed_ordered_shift,observed_ordered_shift_sign,ordered_score_a,ordered_score_b,pair_id,predictor_a,predictor_b,predictor_shift,predictor_shift_sign,prompt_hash_a,prompt_hash_b,shift_direction_match,standard_a,standard_b,target,value
0.4063975102201782,-0.4063975102201782,bath water,freezer air,temperature,cold,warm,2.0,positive,-0.4063975102201782,negative,1.7853613980661254,1.3789638878459471,temp-v1_3a-m010-bath_water-vs-freezer_air,-48.0,8.0,56.0,positive,c4f9c3e8ead6096a,34c0542f79ffc862,0,38.0,-18.0,-10 degrees Celsius,-10.0
0.623587637166652,-0.623587637166652,freezer air,freshly served tea,temperature,warm,cold,-2.0,negative,0.623587637166652,positive,1.3789638878459471,2.002551525012599,temp-v1_3a-m010-freezer_air-vs-freshly_served_tea,8.0,-90.0,-98.0,negative,34c0542f79ffc862,64a8de9e684800f4,0,-18.0,80.0,-10 degrees Celsius,-10.0
0.5863679401692132,-0.5863679401692132,freezer air,room air,temperature,warm,cold,-2.0,negative,0.5863679401692132,positive,1.3789638878459471,1.9653318280151604,temp-v1_3a-m010-freezer_air-vs-room_air,8.0,-31.0,-39.0,negative,34c0542f79ffc862,726af4c24dda2f71,0,-18.0,21.0,-10 degrees Celsius,-10.0
0.021557648481772107,-0.021557648481772107,heated oven air,freezer air,temperature,cold,warm,2.0,positive,-0.021557648481772107,negative,1.4005215363277193,1.3789638878459471,temp-v1_3a-m010-heated_oven_air-vs-freezer_air,-190.0,8.0,198.0,positive,63204e55e68bf9ed,34c0542f79ffc862,0,180.0,-18.0,-10 degrees Celsius,-10.0
0.12136837474288509,0.12136837474288509,swimming-pool water,freezer air,temperature,cold,warm,2.0,positive,0.12136837474288509,positive,1.257595513103062,1.3789638878459471,temp-v1_3a-m010-swimming_pool_water-vs-freezer_air,-37.0,8.0,45.0,positive,e8d79fa035efebaf,34c0542f79ffc862,1,27.0,-18.0,-10 degrees Celsius,-10.0
0.42100421068942606,-0.42100421068942606,bath water,freezer air,temperature,cold,cool,1.0,positive,-0.42100421068942606,negative,1.507087850176259,1.086083639486833,temp-v1_3a-m030-bath_water-vs-freezer_air,-68.0,-12.0,56.0,positive,1912eebc7beb054c,8974d235741526c3,0,38.0,-18.0,-30 degrees Celsius,-30.0
0.7625619202336174,-0.7625619202336174,freezer air,freshly served tea,temperature,cool,cold,-1.0,negative,0.7625619202336174,positive,1.086083639486833,1.8486455597204503,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,-12.0,-110.0,-98.0,negative,8974d235741526c3,a651ae6d04ad1dc9,0,-18.0,80.0,-30 degrees Celsius,-30.0
0.316849832588624,-0.316849832588624,heated oven air,freezer air,temperature,cold,cool,1.0,positive,-0.316849832588624,negative,1.402933472075457,1.086083639486833,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,-210.0,-12.0,198.0,positive,6c931e7daa1efa48,8974d235741526c3,0,180.0,-18.0,-30 degrees Celsius,-30.0
0.7924200279145446,-0.7924200279145446,room air,freezer air,temperature,cold,cool,1.0,positive,-0.7924200279145446,negative,1.8785036674013775,1.086083639486833,temp-v1_3a-m030-room_air-vs-freezer_air,-51.0,-12.0,39.0,positive,d07b1f56dc43f5ac,8974d235741526c3,0,21.0,-18.0,-30 degrees Celsius,-30.0
0.03715787835835882,0.03715787835835882,swimming-pool water,freezer air,temperature,cold,cool,1.0,positive,0.03715787835835882,positive,1.0489257611284741,1.086083639486833,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,-57.0,-12.0,45.0,positive,f7b6a0c8bbc457a8,8974d235741526c3,1,27.0,-18.0,-30 degrees Celsius,-30.0
0.6022252608225276,-0.6022252608225276,freezer air,bath water,temperature,hot,cold,-3.0,negative,0.6022252608225276,positive,1.4211332867863036,2.023358547608831,temp-v1_3a-p005-freezer_air-vs-bath_water,23.0,-33.0,-56.0,negative,4d06dff6c7227d21,6f04b8aedbe7c126,0,-18.0,38.0,5 degrees Celsius,5.0
0.6319678453776885,-0.6319678453776885,freezer air,room air,temperature,hot,cool,-2.0,negative,0.6319678453776885,positive,1.4211332867863036,2.053101132163992,temp-v1_3a-p005-freezer_air-vs-room_air,23.0,-16.0,-39.0,negative,4d06dff6c7227d21,e5a1f890e528b70f,0,-18.0,21.0,5 degrees Celsius,5.0
0.5694586913004096,-0.5694586913004096,freezer air,swimming-pool water,temperature,hot,cold,-3.0,negative,0.5694586913004096,positive,1.4211332867863036,1.9905919780867132,temp-v1_3a-p005-freezer_air-vs-swimming_pool_water,23.0,-22.0,-45.0,negative,4d06dff6c7227d21,a80ba286c978d44d,0,-18.0,27.0,5 degrees Celsius,5.0
0.9452468313509985,-0.9452468313509985,freshly served tea,freezer air,temperature,cold,hot,3.0,positive,-0.9452468313509985,negative,2.366380118137302,1.4211332867863036,temp-v1_3a-p005-freshly_served_tea-vs-freezer_air,-75.0,23.0,98.0,positive,e3a2164ab7e7ebb6,4d06dff6c7227d21,0,80.0,-18.0,5 degrees Celsius,5.0
0.30873215128653597,-0.30873215128653597,heated oven air,freezer air,temperature,cold,hot,3.0,positive,-0.30873215128653597,negative,1.7298654380728395,1.4211332867863036,temp-v1_3a-p005-heated_oven_air-vs-freezer_air,-175.0,23.0,198.0,positive,a86ac4e5b9ee1d7a,4d06dff6c7227d21,0,180.0,-18.0,5 degrees Celsius,5.0
0.3232356940911525,0.3232356940911525,heated oven air,room air,temperature,cold,cool,1.0,positive,0.3232356940911525,positive,1.7298654380728395,2.053101132163992,temp-v1_3a-p005-heated_oven_air-vs-room_air,-175.0,-16.0,159.0,positive,a86ac4e5b9ee1d7a,e5a1f890e528b70f,1,180.0,21.0,5 degrees Celsius,5.0
0.029742584555160878,0.029742584555160878,room air,bath water,temperature,cool,cold,-1.0,negative,-0.029742584555160878,negative,2.053101132163992,2.023358547608831,temp-v1_3a-p005-room_air-vs-bath_water,-16.0,-33.0,-17.0,negative,e5a1f890e528b70f,6f04b8aedbe7c126,1,21.0,38.0,5 degrees Celsius,5.0
0.31327898597331005,-0.31327898597331005,room air,freshly served tea,temperature,cool,cold,-1.0,negative,0.31327898597331005,positive,2.053101132163992,2.366380118137302,temp-v1_3a-p005-room_air-vs-freshly_served_tea,-16.0,-75.0,-59.0,negative,e5a1f890e528b70f,e3a2164ab7e7ebb6,0,21.0,80.0,5 degrees Celsius,5.0
0.06250915407727886,0.06250915407727886,swimming-pool water,room air,temperature,cold,cool,1.0,positive,0.06250915407727886,positive,1.9905919780867132,2.053101132163992,temp-v1_3a-p005-swimming_pool_water-vs-room_air,-22.0,-16.0,6.0,positive,a80ba286c978d44d,e5a1f890e528b70f,1,27.0,21.0,5 degrees Celsius,5.0
0.3780148284546112,-0.3780148284546112,bath water,freezer air,temperature,cold,hot,3.0,positive,-0.3780148284546112,negative,1.855015410061731,1.4770005816071199,temp-v1_3a-p015-bath_water-vs-freezer_air,-23.0,33.0,56.0,positive,81444a07a1e338d8,511fbdc2527f8962,0,38.0,-18.0,15 degrees Celsius,15.0
0.7660303794513477,-0.7660303794513477,freezer air,freshly served tea,temperature,hot,cold,-3.0,negative,0.7660303794513477,positive,1.4770005816071199,2.2430309610584676,temp-v1_3a-p015-freezer_air-vs-freshly_served_tea,33.0,-65.0,-98.0,negative,511fbdc2527f8962,8546aab562308045,0,-18.0,80.0,15 degrees Celsius,15.0
0.3648576521440292,-0.3648576521440292,freezer air,room air,temperature,hot,cool,-2.0,negative,0.3648576521440292,positive,1.4770005816071199,1.841858233751149,temp-v1_3a-p015-freezer_air-vs-room_air,33.0,-6.0,-39.0,negative,511fbdc2527f8962,c07e0d6d87c2e5a4,0,-18.0,21.0,15 degrees Celsius,15.0
0.2680656357687099,-0.2680656357687099,freezer air,swimming-pool water,temperature,hot,cool,-2.0,negative,0.2680656357687099,positive,1.4770005816071199,1.7450662173758298,temp-v1_3a-p015-freezer_air-vs-swimming_pool_water,33.0,-12.0,-45.0,negative,511fbdc2527f8962,690593387b48d2b3,0,-18.0,27.0,15 degrees Celsius,15.0
0.49796474368263777,-0.49796474368263777,freshly served tea,swimming-pool water,temperature,cold,cool,1.0,positive,-0.49796474368263777,negative,2.2430309610584676,1.7450662173758298,temp-v1_3a-p015-freshly_served_tea-vs-swimming_pool_water,-65.0,-12.0,53.0,positive,8546aab562308045,690593387b48d2b3,0,80.0,27.0,15 degrees Celsius,15.0
0.16754198374699225,-0.16754198374699225,heated oven air,freezer air,temperature,cold,hot,3.0,positive,-0.16754198374699225,negative,1.6445425653541121,1.4770005816071199,temp-v1_3a-p015-heated_oven_air-vs-freezer_air,-165.0,33.0,198.0,positive,43a2694f69ed7e59,511fbdc2527f8962,0,180.0,-18.0,15 degrees Celsius,15.0
0.013157176310581997,-0.013157176310581997,room air,bath water,temperature,cool,cold,-1.0,negative,0.013157176310581997,positive,1.841858233751149,1.855015410061731,temp-v1_3a-p015-room_air-vs-bath_water,-6.0,-23.0,-17.0,negative,c07e0d6d87c2e5a4,81444a07a1e338d8,0,21.0,38.0,15 degrees Celsius,15.0
0.40117272730731846,-0.40117272730731846,room air,freshly served tea,temperature,cool,cold,-1.0,negative,0.40117272730731846,positive,1.841858233751149,2.2430309610584676,temp-v1_3a-p015-room_air-vs-freshly_served_tea,-6.0,-65.0,-59.0,negative,c07e0d6d87c2e5a4,8546aab562308045,0,21.0,80.0,15 degrees Celsius,15.0
