comparison,correct,domain,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_cold,prob_cool,prob_hot,prob_huge,prob_large,prob_mass_in_label_order,prob_mature,prob_old,prob_small,prob_tiny,prob_warm,prob_young,prob_youthful,prompt,prompt_hash,side,standard,target,value
room air,0,temperature,1.2404342774978419,cold,0.0,1.8785036674013775,temp-v1_3a-m030-room_air-vs-freezer_air,hot,3.0,-51.0,0.21482474751473193,0.06331684854374833,0.37147001097458965,,,1.0,,,,,0.35038839296693014,,,"For room air, a typical temperature is 21 degrees Celsius. Relative to that 21-degree reference, a temperature of -30 degrees Celsius is best described as",d07b1f56dc43f5ac,a,21.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,1.2363187076215474,cool,1.0,1.086083639486833,temp-v1_3a-m030-room_air-vs-freezer_air,cold,0.0,-12.0,0.4729396284771233,0.11478412719435539,0.14674702363543485,,,1.0,,,,,0.2655292206930865,,,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",8974d235741526c3,b,-18.0,-30 degrees Celsius,-30.0
swimming-pool water,1,temperature,1.1897992593968236,cold,0.0,1.0489257611284741,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,cold,0.0,-57.0,0.5122057760618811,0.0859458173178239,0.15928313057006036,,,1.0,,,,,0.24256527605023467,,,"For swimming-pool water, a typical temperature is 27 degrees Celsius. Relative to that 27-degree reference, a temperature of -30 degrees Celsius is best described as",f7b6a0c8bbc457a8,a,27.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,1.2363187076215474,cool,1.0,1.086083639486833,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,cold,0.0,-12.0,0.4729396284771233,0.11478412719435539,0.14674702363543485,,,1.0,,,,,0.2655292206930865,,,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",8974d235741526c3,b,-18.0,-30 degrees Celsius,-30.0
bath water,0,temperature,1.2884457188985838,cold,0.0,1.507087850176259,temp-v1_3a-m030-bath_water-vs-freezer_air,warm,2.0,-68.0,0.31952036139681506,0.08928792004599695,0.23541649301588588,,,1.0,,,,,0.35577522554130214,,,"For bath water, a typical temperature is 38 degrees Celsius. Relative to that 38-degree reference, a temperature of -30 degrees Celsius is best described as",1912eebc7beb054c,a,38.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,1.2363187076215474,cool,1.0,1.086083639486833,temp-v1_3a-m030-bath_water-vs-freezer_air,cold,0.0,-12.0,0.4729396284771233,0.11478412719435539,0.14674702363543485,,,1.0,,,,,0.2655292206930865,,,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",8974d235741526c3,b,-18.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,1.2363187076215474,cool,1.0,1.086083639486833,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,cold,0.0,-12.0,0.4729396284771233,0.11478412719435539,0.14674702363543485,,,1.0,,,,,0.2655292206930865,,,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",8974d235741526c3,a,-18.0,-30 degrees Celsius,-30.0
freshly served tea,0,temperature,1.10300533140206,cold,0.0,1.8486455597204503,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,hot,3.0,-110.0,0.3090181967185768,0.061918560376905386,0.5286005135345093,,,1.0,,,,,0.10046272937000851,,,"For freshly served tea, a typical temperature is 80 degrees Celsius. Relative to that 80-degree reference, a temperature of -30 degrees Celsius is best described as",a651ae6d04ad1dc9,b,80.0,-30 degrees Celsius,-30.0
heated oven air,1,temperature,1.201451085831567,cold,0.0,1.402933472075457,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,cold,0.0,-210.0,0.39358499004708347,0.040454493485986384,0.2305579456556103,,,1.0,,,,,0.33540257081131986,,,"For heated oven air, a typical temperature is 180 degrees Celsius. Relative to that 180-degree reference, a temperature of -30 degrees Celsius is best described as",6c931e7daa1efa48,a,180.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,1.2363187076215474,cool,1.0,1.086083639486833,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,cold,0.0,-12.0,0.4729396284771233,0.11478412719435539,0.14674702363543485,,,1.0,,,,,0.2655292206930865,,,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",8974d235741526c3,b,-18.0,-30 degrees Celsius,-30.0
