comparison,correct,domain,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_cold,prob_cool,prob_hot,prob_huge,prob_large,prob_mass_in_label_order,prob_mature,prob_old,prob_small,prob_tiny,prob_warm,prob_young,prob_youthful,prompt,prompt_hash,side,standard,target,value
room air,1,temperature,0.8754492707710567,cold,0.0,0.6856027762000316,temp-v1_3b-m030-room_air-vs-freezer_air,cold,0.0,-51.0,0.7132315336456856,0.05642125641844075,0.1684870999098435,,,1.0,,,,,0.061860110026030216,,,"If the normal temperature for room air is 21 degrees Celsius, then -30 degrees Celsius would best be called",3dc60a012b25b130,a,21.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.7615033356361695,cool,1.0,0.513837513457456,temp-v1_3b-m030-room_air-vs-freezer_air,cold,0.0,-12.0,0.7758138533553326,0.037034003379548125,0.10249922354766934,,,1.0,,,,,0.0846529197174499,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",623a4774cd8d0cf2,b,-18.0,-30 degrees Celsius,-30.0
swimming-pool water,1,temperature,1.0252834120718117,cold,0.0,0.8711865202106515,temp-v1_3b-m030-swimming_pool_water-vs-freezer_air,cold,0.0,-57.0,0.6307181554200971,0.053741726352780746,0.1863645574036265,,,1.0,,,,,0.12917556082349563,,,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then -30 degrees Celsius would best be called",c8f6413d3e551748,a,27.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.7615033356361695,cool,1.0,0.513837513457456,temp-v1_3b-m030-swimming_pool_water-vs-freezer_air,cold,0.0,-12.0,0.7758138533553326,0.037034003379548125,0.10249922354766934,,,1.0,,,,,0.0846529197174499,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",623a4774cd8d0cf2,b,-18.0,-30 degrees Celsius,-30.0
bath water,1,temperature,0.9985873934153311,cold,0.0,1.2069076449049954,temp-v1_3b-m030-bath_water-vs-freezer_air,cold,0.0,-68.0,0.5497540868846619,0.04150681654292552,0.3479226352172446,,,1.0,,,,,0.06081646135516803,,,"If the normal temperature for bath water is 38 degrees Celsius, then -30 degrees Celsius would best be called",7b3add6ce3023ce9,a,38.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.7615033356361695,cool,1.0,0.513837513457456,temp-v1_3b-m030-bath_water-vs-freezer_air,cold,0.0,-12.0,0.7758138533553326,0.037034003379548125,0.10249922354766934,,,1.0,,,,,0.0846529197174499,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",623a4774cd8d0cf2,b,-18.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.7615033356361695,cool,1.0,0.513837513457456,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,cold,0.0,-12.0,0.7758138533553326,0.037034003379548125,0.10249922354766934,,,1.0,,,,,0.0846529197174499,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",623a4774cd8d0cf2,a,-18.0,-30 degrees Celsius,-30.0
freshly served tea,0,temperature,0.8003907122990073,cold,0.0,2.0652182484442414,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,hot,3.0,-110.0,0.28589845563796146,0.030562243744296422,0.6675774034644603,,,0.9999999999999999,,,,,0.015961897153281744,,,"If the normal temperature for freshly served tea is 80 degrees Celsius, then -30 degrees Celsius would best be called",fedc8c56012b5dba,b,80.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.7615033356361695,cool,1.0,0.513837513457456,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,cold,0.0,-12.0,0.7758138533553326,0.037034003379548125,0.10249922354766934,,,1.0,,,,,0.0846529197174499,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",623a4774cd8d0cf2,a,-18.0,-30 degrees Celsius,-30.0
heated oven air,0,temperature,0.559612703645705,cold,0.0,2.5685368115267164,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,hot,3.0,-210.0,0.12824609077566546,0.008776650535776715,0.8338056436138244,,,1.0000000000000002,,,,,0.02917161507473364,,,"If the normal temperature for heated oven air is 180 degrees Celsius, then -30 degrees Celsius would best be called",e64e0b4dca5c6649,b,180.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5815981204581822,warm,2.0,0.30029871450675405,temp-v1_3b-m010-freezer_air-vs-room_air,cold,0.0,8.0,0.8518595026464131,0.050330675046071874,0.054348394845652036,,,1.0,,,,,0.04346142746186304,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",092c99c7526a7c0b,a,-18.0,-10 degrees Celsius,-10.0
room air,1,temperature,1.0752554220949044,cold,0.0,1.0629424104275647,temp-v1_3b-m010-freezer_air-vs-room_air,cold,0.0,-31.0,0.5630433725217195,0.09209478988522415,0.28112394535622814,,,0.9999999999999998,,,,,0.063737892236828,,,"If the normal temperature for room air is 21 degrees Celsius, then -10 degrees Celsius would best be called",a3176ae7afc334c7,b,21.0,-10 degrees Celsius,-10.0
freezer air,0,temperature,0.5815981204581822,warm,2.0,0.30029871450675405,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,cold,0.0,8.0,0.8518595026464131,0.050330675046071874,0.054348394845652036,,,1.0,,,,,0.04346142746186304,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",092c99c7526a7c0b,a,-18.0,-10 degrees Celsius,-10.0
swimming-pool water,0,temperature,1.1793566638005222,cold,0.0,1.6281850228985035,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,hot,3.0,-37.0,0.36807779187527845,0.06929154137947836,0.4336321480285388,,,0.9999999999999999,,,,,0.12899851871670429,,,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then -10 degrees Celsius would best be called",a6884b500e1a873b,b,27.0,-10 degrees Celsius,-10.0
bath water,0,temperature,0.9886593369136941,cold,0.0,1.9218788750093887,temp-v1_3b-m010-bath_water-vs-freezer_air,hot,3.0,-48.0,0.31195032659039895,0.033068503390892325,0.578848031581079,,,1.0,,,,,0.07613313843762963,,,"If the normal temperature for bath water is 38 degrees Celsius, then -10 degrees Celsius would best be called",39437957b84242cc,a,38.0,-10 degrees Celsius,-10.0
freezer air,0,temperature,0.5815981204581822,warm,2.0,0.30029871450675405,temp-v1_3b-m010-bath_water-vs-freezer_air,cold,0.0,8.0,0.8518595026464131,0.050330675046071874,0.054348394845652036,,,1.0,,,,,0.04346142746186304,,,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",092c99c7526a7c0b,b,-18.0,-10 degrees Celsius,-10.0
