abs_observed_ordered_shift,aligned_observed_shift,comparison_a,comparison_b,domain,expected_a,expected_b,expected_shift,expected_shift_sign,observed_ordered_shift,observed_ordered_shift_sign,ordered_score_a,ordered_score_b,pair_id,predictor_a,predictor_b,predictor_shift,predictor_shift_sign,prompt_hash_a,prompt_hash_b,shift_direction_match,standard_a,standard_b,target,value
0.36347325779957873,0.36347325779957873,bath water,freezer air,temperature,cold,warm,2.0,positive,0.36347325779957873,positive,0.4828504083177121,0.8463236661172908,temp-v1_3c-m010-bath_water-vs-freezer_air,-48.0,8.0,56.0,positive,c773301fb381a61f,07348c0a73c57640,1,38.0,-18.0,-10 degrees Celsius,-10.0
0.36144640091930225,0.36144640091930225,freezer air,swimming-pool water,temperature,warm,cold,-2.0,negative,-0.36144640091930225,negative,0.8463236661172908,0.48487726519798857,temp-v1_3c-m010-freezer_air-vs-swimming_pool_water,8.0,-37.0,-45.0,negative,07348c0a73c57640,4c134228a83e95f8,1,-18.0,27.0,-10 degrees Celsius,-10.0
0.17765985735616385,-0.17765985735616385,freshly served tea,freezer air,temperature,cold,warm,2.0,positive,-0.17765985735616385,negative,1.0239835234734547,0.8463236661172908,temp-v1_3c-m010-freshly_served_tea-vs-freezer_air,-90.0,8.0,98.0,positive,4ab9f5336b02f6cd,07348c0a73c57640,0,80.0,-18.0,-10 degrees Celsius,-10.0
0.7835981003457555,-0.7835981003457555,heated oven air,freezer air,temperature,cold,warm,2.0,positive,-0.7835981003457555,negative,1.6299217664630463,0.8463236661172908,temp-v1_3c-m010-heated_oven_air-vs-freezer_air,-190.0,8.0,198.0,positive,7fdc52c835d81d29,07348c0a73c57640,0,180.0,-18.0,-10 degrees Celsius,-10.0
0.02564021869269717,-0.02564021869269717,room air,freezer air,temperature,cold,warm,2.0,positive,-0.02564021869269717,negative,0.871963884809988,0.8463236661172908,temp-v1_3c-m010-room_air-vs-freezer_air,-31.0,8.0,39.0,positive,9aa642c0bd07df9b,07348c0a73c57640,0,21.0,-18.0,-10 degrees Celsius,-10.0
0.15730869095511485,-0.15730869095511485,bath water,freezer air,temperature,cold,cool,1.0,positive,-0.15730869095511485,negative,0.39168713091200574,0.2343784399568909,temp-v1_3c-m030-bath_water-vs-freezer_air,-68.0,-12.0,56.0,positive,9d00f00cd0c9f6a6,fde568de8d7e7ea8,0,38.0,-18.0,-30 degrees Celsius,-30.0
0.35525602912904153,-0.35525602912904153,freezer air,freshly served tea,temperature,cool,cold,-1.0,negative,0.35525602912904153,positive,0.2343784399568909,0.5896344690859324,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,-12.0,-110.0,-98.0,negative,fde568de8d7e7ea8,9e91dcb29b22502e,0,-18.0,80.0,-30 degrees Celsius,-30.0
1.255560776924832,-1.255560776924832,freezer air,heated oven air,temperature,cool,cold,-1.0,negative,1.255560776924832,positive,0.2343784399568909,1.489939216881723,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,-12.0,-210.0,-198.0,negative,fde568de8d7e7ea8,9bc03fbc00253217,0,-18.0,180.0,-30 degrees Celsius,-30.0
0.03794107645028938,-0.03794107645028938,freezer air,swimming-pool water,temperature,cool,cold,-1.0,negative,0.03794107645028938,positive,0.2343784399568909,0.2723195164071803,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,-12.0,-57.0,-45.0,negative,fde568de8d7e7ea8,a4e6f837ea26a5dc,0,-18.0,27.0,-30 degrees Celsius,-30.0
0.4795744939260579,-0.4795744939260579,room air,freezer air,temperature,cold,cool,1.0,positive,-0.4795744939260579,negative,0.7139529338829488,0.2343784399568909,temp-v1_3c-m030-room_air-vs-freezer_air,-51.0,-12.0,39.0,positive,0c84f674d46d5e09,fde568de8d7e7ea8,0,21.0,-18.0,-30 degrees Celsius,-30.0
