comparison,correct,domain,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_cold,prob_cool,prob_hot,prob_huge,prob_large,prob_mass_in_label_order,prob_mature,prob_old,prob_small,prob_tiny,prob_warm,prob_young,prob_youthful,prompt,prompt_hash,side,standard,target,value
room air,1,temperature,0.9676411805818104,cold,0.0,0.7139529338829488,temp-v1_3c-m030-room_air-vs-freezer_air,cold,0.0,-51.0,0.6785565171135879,0.06627347217299745,0.13733944028312198,,,0.9999999999999999,,,,,0.11783057043029264,,,"For room air, normal is 21 degrees Celsius. Compared to that, -30 degrees Celsius is",0c84f674d46d5e09,a,21.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5514517932532579,cool,1.0,0.2343784399568909,temp-v1_3c-m030-room_air-vs-freezer_air,cold,0.0,-12.0,0.8572169209641662,0.07964805707459617,0.028460338959819555,,,1.0,,,,,0.03467468300141804,,,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",fde568de8d7e7ea8,b,-18.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5514517932532579,cool,1.0,0.2343784399568909,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,cold,0.0,-12.0,0.8572169209641662,0.07964805707459617,0.028460338959819555,,,1.0,,,,,0.03467468300141804,,,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",fde568de8d7e7ea8,a,-18.0,-30 degrees Celsius,-30.0
swimming-pool water,1,temperature,0.5105237907184821,cold,0.0,0.2723195164071803,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,cold,0.0,-57.0,0.8750575332767099,0.02873132265122186,0.05116590561182151,,,1.0000000000000002,,,,,0.045045238460246974,,,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, -30 degrees Celsius is",a4e6f837ea26a5dc,b,27.0,-30 degrees Celsius,-30.0
bath water,1,temperature,0.6520620571634208,cold,0.0,0.39168713091200574,temp-v1_3c-m030-bath_water-vs-freezer_air,cold,0.0,-68.0,0.8231867830830939,0.03399331136521393,0.07205400844340762,,,0.9999999999999999,,,,,0.07076589710828447,,,"For bath water, normal is 38 degrees Celsius. Compared to that, -30 degrees Celsius is",9d00f00cd0c9f6a6,a,38.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5514517932532579,cool,1.0,0.2343784399568909,temp-v1_3c-m030-bath_water-vs-freezer_air,cold,0.0,-12.0,0.8572169209641662,0.07964805707459617,0.028460338959819555,,,1.0,,,,,0.03467468300141804,,,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",fde568de8d7e7ea8,b,-18.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5514517932532579,cool,1.0,0.2343784399568909,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,cold,0.0,-12.0,0.8572169209641662,0.07964805707459617,0.028460338959819555,,,1.0,,,,,0.03467468300141804,,,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",fde568de8d7e7ea8,a,-18.0,-30 degrees Celsius,-30.0
freshly served tea,1,temperature,0.9418437478335921,cold,0.0,0.5896344690859324,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,cold,0.0,-110.0,0.6943867441243641,0.09573479855534041,0.07414275589000105,,,1.0,,,,,0.13573570143029445,,,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, -30 degrees Celsius is",9e91dcb29b22502e,b,80.0,-30 degrees Celsius,-30.0
freezer air,0,temperature,0.5514517932532579,cool,1.0,0.2343784399568909,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,cold,0.0,-12.0,0.8572169209641662,0.07964805707459617,0.028460338959819555,,,1.0,,,,,0.03467468300141804,,,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",fde568de8d7e7ea8,a,-18.0,-30 degrees Celsius,-30.0
heated oven air,1,temperature,1.140659846494196,cold,0.0,1.489939216881723,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,cold,0.0,-210.0,0.4253306301666756,0.02966233790458949,0.37026281511966347,,,1.0,,,,,0.1747442168090715,,,"For heated oven air, normal is 180 degrees Celsius. Compared to that, -30 degrees Celsius is",9bc03fbc00253217,b,180.0,-30 degrees Celsius,-30.0
